--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
492,Reed Larson,1989,1989,1,11,0,9,9,-3,18,0,0,0,0,5,4,0,19,0.0,,,larsore01
493,Warren Peters,2010,2010,1,11,1,0,1,1,2,1,0,0,0,0,0,0,8,12.5,79,7:13,peterwa01
494,Dan Quinn,1993,1993,1,11,0,4,4,-4,6,0,0,0,0,1,3,0,20,0.0,,,quinnda01
495,Kris Russell,2016,2016,1,11,0,4,4,-1,2,0,0,0,0,2,2,0,14,0.0,264,24:02,russekr01
496,Raymond Sawada,2009,2011,3,11,1,0,1,-1,0,1,0,0,0,0,0,0,5,20.0,90,8:11,sawadra01
497,Dan Seguin,1971,1971,1,11,1,1,2,1,4,1,0,0,0,1,0,0,4,25.0,,,seguida01
498,Chris Therien,2004,2004,1,11,0,0,0,4,2,0,0,0,0,0,0,0,9,0.0,200,18:13,therich01
499,Paul Boutilier,1987,1987,1,10,2,4,6,0,8,2,0,0,0,3,1,0,21,9.5,,,boutipa01
500,Mark Johnson,1982,1982,1,10,2,2,4,-4,10,1,1,0,0,0,2,0,18,11.1,,,johnsma02
501,Warren Luhning,2000,2000,1,10,0,1,1,-2,13,0,0,0,0,1,0,0,7,0.0,103,10:21,luhniwa01
502,Jim McKenny,1979,1979,1,10,1,1,2,-3,2,0,1,0,0,0,1,0,8,12.5,,,mckenji01
503,Jim Storm,1996,1996,1,10,1,2,3,-1,17,1,0,0,1,1,1,0,11,9.1,,,stormji01
504,Francis Wathier,2010,2013,4,10,0,0,0,-2,5,0,0,0,0,0,0,0,4,0.0,49,4:56,wathifr01
505,Maxime Fortunus,2010,2014,2,9,0,1,1,-5,4,0,0,0,0,1,0,0,5,0.0,137,15:16,fortuma01
506,Cameron Gaunce,2014,2014,1,9,0,0,0,1,7,0,0,0,0,0,0,0,9,0.0,125,13:50,gauncca01
507,Marc Labelle,1997,1997,1,9,0,0,0,-4,46,0,0,0,0,0,0,0,2,0.0,,,labelma01
508,Jim Montgomery,2002,2003,2,9,0,2,2,-1,0,0,0,0,0,1,1,0,8,0.0,75,8:22,montgji01
509,Chris Mueller,2014,2014,1,9,0,0,0,-2,0,0,0,0,0,0,0,0,8,0.0,83,9:15,muellch01
510,André Pronovost,1968,1968,1,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,,,pronoan01
511,Brian Smith,1969,1969,1,9,0,1,1,-7,0,0,0,0,0,0,1,0,14,0.0,,,smithbr02
512,Sami Vatanen,2021,2021,1,9,0,0,0,1,2,0,0,0,0,0,0,0,14,0.0,147,16:17,vatansa01
513,Rick Boh,1988,1988,1,8,2,1,3,1,4,2,0,0,0,1,0,0,8,25.0,,,bohri01
514,Terry Caffery,1971,1971,1,8,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,,,caffete01
515,Patrick Côté,1996,1998,3,8,0,0,0,-3,47,0,0,0,0,0,0,0,4,0.0,,,cotepa01
516,Jim Dobson,1980,1982,3,8,0,0,0,0,4,0,0,0,0,0,0,0,5,0.0,,,dobsoji01
517,Fredrik Karlström,2022,2023,2,8,0,1,1,3,0,0,0,0,0,1,0,0,7,0.0,66,8:18,karlsfr01
518,Junior Lessard,2006,2008,3,8,2,0,2,0,14,1,1,0,0,0,0,0,12,16.7,73,9:08,lessaju01
519,Alan Letang,2000,2000,1,8,0,0,0,-5,2,0,0,0,0,0,0,0,1,0.0,80,9:57,letanal01
520,Bill Stewart,1986,1986,1,8,0,2,2,2,13,0,0,0,0,2,0,0,3,0.0,,,stewabi01
521,Nolan Baumgartner,2007,2007,1,7,0,2,2,0,0,0,0,0,0,1,1,0,4,0.0,86,12:14,baumgno01
522,Bob Charlebois,1968,1968,1,7,1,0,1,-4,0,0,1,0,0,0,0,0,8,12.5,,,charlbo01
523,Riley Damiani,2022,2022,1,7,1,1,2,0,2,1,0,0,0,1,0,0,10,10.0,60,8:32,damiari01
524,Dan Jancevski,2006,2009,3,7,0,0,0,1,0,0,0,0,0,0,0,0,7,0.0,83,11:52,janceda01
525,Len Lunde,1968,1968,1,7,0,1,1,-7,0,0,0,0,0,1,0,0,21,0.0,,,lundele01
526,Dean Magee,1978,1978,1,7,0,0,0,-3,4,0,0,0,0,0,0,0,4,0.0,,,mageede01
527,Terry Martin,1985,1985,1,7,1,1,2,0,0,1,0,0,0,1,0,0,5,20.0,,,martite01
528,Jim McElmury,1973,1973,1,7,0,1,1,1,2,0,0,0,0,1,0,0,0,,,,mcelmji01
529,Ron Meighan,1982,1982,1,7,1,1,2,-1,2,1,0,0,0,1,0,0,4,25.0,,,meighro01
530,Jeff Mitchell,1998,1998,1,7,0,0,0,0,7,0,0,0,0,0,0,0,3,0.0,,,mitchje01
531,Wayne Muloin,1971,1971,1,7,0,0,0,-2,6,0,0,0,0,0,0,0,4,0.0,,,muloiwa01
532,Rob Valicevic,2004,2004,1,7,0,0,0,-1,2,0,0,0,0,0,0,0,4,0.0,55,7:50,valicro01
533,Matěj Blümel,2023,2023,1,6,1,0,1,-2,0,1,0,0,0,0,0,0,7,14.3,58,9:42,blumema01
534,Jim Boo,1978,1978,1,6,0,0,0,-6,22,0,0,0,0,0,0,0,2,0.0,,,booji01
535,Erik Condra,2019,2019,1,6,1,0,1,-2,2,1,0,0,0,0,0,0,10,10.0,76,12:41,condrer01
536,Raimo Helminen,1987,1987,1,6,0,1,1,-3,0,0,0,0,0,0,1,0,6,0.0,,,helmira01
537,Peter Lappin,1990,1990,1,6,0,0,0,-5,2,0,0,0,0,0,0,0,8,0.0,,,lappipe01
538,Barry MacKenzie,1969,1969,1,6,0,1,1,-2,6,0,0,0,0,1,0,0,3,0.0,,,mackeba01
539,Barrie Meissner,1968,1969,2,6,0,1,1,-3,4,0,0,0,0,1,0,0,3,0.0,,,meissba01
540,Gavin Morgan,2004,2004,1,6,0,0,0,0,21,0,0,0,0,0,0,0,7,0.0,35,5:49,morgaga01
541,Bob Paradise,1972,1972,1,6,0,0,0,1,6,0,0,0,0,0,0,0,1,0.0,,,paradbo01
542,Allan Tuer,1988,1988,1,6,1,0,1,-3,29,1,0,0,0,0,0,0,1,100.0,,,tueral01
543,Tony White,1980,1980,1,6,0,0,0,-2,4,0,0,0,0,0,0,0,10,0.0,,,whiteto01
544,Neil Brady,1994,1994,1,5,0,1,1,-1,21,0,0,0,0,1,0,0,1,0.0,,,bradyne01
545,Ryan Christie,2000,2000,1,5,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12,2:29,chrisry01
546,Pelle Eklund,1994,1994,1,5,2,1,3,-1,2,2,0,0,0,1,0,0,4,50.0,,,eklunpe01
547,Ken Hodge,1989,1989,1,5,1,1,2,1,0,1,0,0,0,1,0,0,6,16.7,,,hodgeke02
548,Paul Jerrard,1989,1989,1,5,0,0,0,1,4,0,0,0,0,0,0,0,8,0.0,,,jerrapa01
549,Jayson More,1990,1990,1,5,0,0,0,1,16,0,0,0,0,0,0,0,4,0.0,,,moreja01
550,Mike Needham,1994,1994,1,5,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,,,needhmi01
551,Mark Osiecki,1993,1993,1,5,0,0,0,0,5,0,0,0,0,0,0,0,1,0.0,,,osiecma01
552,Róbert Petrovický,1996,1996,1,5,1,1,2,1,0,0,1,0,1,0,1,0,3,33.3,,,petroro01
553,Vojtěch Polák,2006,2007,2,5,0,0,0,-2,0,0,0,0,0,0,0,0,5,0.0,35,7:00,polakvo01
