--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
275,Evgeny Davydov,1994,1994,1,21,2,6,8,-3,8,2,0,0,0,6,0,0,22,9.1,,,davydev01
276,Seth Griffith,2017,2017,1,21,0,5,5,6,8,0,0,0,0,4,1,0,18,0.0,277,13:12,griffse01
277,Éric Messier,2004,2004,1,21,0,3,3,-2,16,0,0,0,0,2,0,1,13,0.0,237,11:16,messier01
278,Jeff Taffe,2010,2010,1,21,1,1,2,-1,4,1,0,0,0,1,0,0,18,5.6,177,8:25,taffeje01
279,Paul Thompson,2017,2017,1,21,0,3,3,-4,22,0,0,0,0,3,0,0,19,0.0,166,7:54,thomppa02
280,Niclas Bergfors,2011,2011,1,20,1,6,7,2,2,1,0,0,0,6,0,0,53,1.9,326,16:19,bergfni01
281,Ben Chiarot,2022,2022,1,20,2,6,8,4,6,1,1,0,0,6,0,0,47,4.3,419,20:56,chiarbe01
282,Kevin Connauton,2021,2022,2,20,0,1,1,8,9,0,0,0,0,1,0,0,19,0.0,256,12:47,connake01
283,Randy Gilhen,1994,1994,1,20,4,4,8,1,16,4,0,0,0,3,1,0,52,7.7,,,gilhera01
284,Corban Knight,2016,2016,1,20,2,5,7,3,4,2,0,0,0,5,0,0,11,18.2,193,9:38,knighco01
285,Sergei Samsonov,2011,2011,1,20,3,11,14,-2,2,3,0,0,1,7,4,0,36,8.3,385,19:14,samsose01
286,Thomas Vanek,2017,2017,1,20,2,8,10,-7,6,2,0,0,0,6,2,0,34,5.9,278,13:54,vanekth01
287,T.J. Brennan,2013,2013,1,19,2,7,9,-8,2,2,0,0,0,4,3,0,24,8.3,336,17:41,brenntj01
288,Ryan Carter,2011,2012,2,19,2,1,3,2,28,2,0,0,0,1,0,0,17,11.8,227,11:58,cartery01
289,Jiří Hudler,2016,2016,1,19,6,5,11,0,10,4,2,0,1,5,0,0,29,20.7,253,13:18,hudleji01
290,Jason Podollan,1997,1997,1,19,1,1,2,-3,4,0,1,0,0,1,0,0,20,5.0,,,podolja01
291,Claude Giroux,2022,2022,1,18,3,20,23,7,6,1,2,0,0,11,9,0,51,5.9,334,18:34,giroucl01
292,Steve MacIntyre,2010,2010,1,18,0,1,1,-3,17,0,0,0,0,1,0,0,3,0.0,57,3:10,macinst01
