--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
59,Lyle Odelein,1997,2000,4,285,13,73,86,23,499,10,3,0,3,49,23,1,329,4.0,2343,18:27,odelely01
60,Craig Wolanin,1986,1990,5,283,16,62,78,-63,469,14,1,1,4,54,8,0,331,4.8,,,wolancr01
61,David Maley,1988,1992,5,280,32,50,82,-33,683,29,3,0,6,44,5,1,298,10.7,,,maleyda01
62,Dave Hudson,1975,1978,4,277,45,95,140,-58,65,39,6,0,3,75,17,3,404,11.1,,,hudsoda01
63,Jacob Josefson,2011,2017,7,276,18,42,60,-17,78,11,3,4,4,27,14,1,300,6.0,3562,12:54,josefja01
64,Don Lever,1982,1985,4,275,69,85,154,-99,163,50,15,4,4,57,25,3,468,14.7,,,leverdo01
65,Adam Larsson,2012,2016,5,274,9,60,69,13,155,9,0,0,3,51,4,5,274,3.3,5660,20:39,larssad01
66,Johnny Oduya,2007,2010,4,273,17,53,70,45,155,13,3,1,4,41,12,0,270,6.3,5393,19:45,oduyajo01
67,Denis Pederson,1996,2000,5,271,44,49,93,-17,241,30,14,0,7,41,7,1,433,10.2,1539,13:52,pederde01
68,Stephen Gionta,2011,2016,6,270,15,35,50,-17,93,14,0,1,3,32,0,3,308,4.9,3372,12:29,giontst01
69,Doug Sulliman,1985,1988,4,267,86,78,164,-47,60,59,24,3,10,56,18,4,488,17.6,,,sullido01
70,Alexei Kasatonov,1990,1993,4,257,31,88,119,56,219,24,5,2,4,58,27,3,352,8.8,,,kasatal01
71,Jack Hughes,2020,2023,4,244,87,120,207,-35,32,67,20,0,11,79,41,0,766,11.4,4551,18:39,hugheja03
72,Tom Chorske,1992,1995,4,244,57,57,114,17,105,52,1,4,9,52,0,5,396,14.4,,,chorsto01
73,Joel Quenneville,1980,1983,4,244,25,53,78,-89,213,20,4,1,1,31,20,2,321,7.8,,,quennjo01
74,Randy Pierce,1978,1983,6,243,53,71,124,-61,206,44,8,1,10,54,16,1,508,10.4,,,piercra01
75,Michael McLeod,2019,2023,5,242,19,47,66,-23,154,19,0,0,3,45,0,2,260,7.3,3103,12:49,mcleomi01
76,Mark Fayne,2011,2014,4,242,13,35,48,7,99,11,0,2,1,28,6,1,293,4.4,4552,18:49,faynema01
77,Will Butcher,2018,2021,4,238,14,92,106,-27,34,10,4,0,3,56,36,0,295,4.7,4246,17:50,butchwi01
78,Blake Coleman,2017,2020,4,237,57,37,94,-21,188,44,4,9,7,32,2,3,570,10.0,3731,15:44,colembl01
79,Mike Mottau,2008,2010,3,235,7,43,50,17,124,6,1,0,1,34,8,1,213,3.3,4751,20:13,mottami01
80,Rob Ramage,1980,1982,3,234,41,91,132,-136,529,18,22,1,6,43,48,0,777,5.3,,,ramagro01
81,Turner Stevenson,2001,2004,4,228,29,46,75,15,313,23,6,0,3,37,9,0,286,10.1,2694,11:49,stevetu01
82,Dave Andreychuk*,1996,1999,4,224,64,86,150,60,104,49,14,1,7,65,21,0,564,11.3,808,15:32,andreda01
83,Steve Bernier,2012,2015,4,224,28,37,65,-14,94,22,6,0,4,30,7,0,322,8.7,2867,12:48,bernist01
84,Ilya Kovalchuk,2010,2013,4,222,89,112,201,-32,87,59,23,7,20,61,49,2,789,11.3,5210,23:28,kovalil01
85,Anton Volchenkov,2011,2014,4,222,3,29,32,8,127,3,0,0,1,27,0,2,208,1.4,3860,17:23,volchan01
86,Peter Šťastný*,1990,1993,4,217,64,109,173,0,133,40,23,1,10,59,49,1,390,16.4,,,stastpe01
87,Claude Loiselle,1987,1989,3,217,40,56,96,-10,467,31,5,4,6,49,6,1,354,11.3,,,loisecl01
88,John Moore,2016,2018,3,217,23,36,59,-16,114,20,2,1,6,27,9,0,349,6.6,4264,19:39,moorejo01
89,Jonathon Merrill,2014,2017,4,216,6,30,36,-41,88,4,2,0,3,24,5,1,170,3.5,4097,18:58,merrijo01
90,Marek Židlický,2012,2015,4,214,22,70,92,-22,150,8,14,0,3,36,32,2,352,6.3,4640,21:41,zidlima01
91,Taylor Hall,2017,2020,4,211,76,132,208,-12,102,52,23,1,14,79,53,0,738,10.3,4072,19:18,hallta02
92,Rod Pelley,2007,2012,5,211,7,19,26,-19,93,6,1,0,1,18,1,0,232,3.0,2052,9:43,pellero02
93,Krzysztof Oliwa,1997,2006,5,210,13,20,33,2,724,12,1,0,5,20,0,0,174,7.5,935,6:52,oliwakr01
94,Dave Lewis,1984,1986,3,209,5,29,34,-50,222,5,0,0,2,26,2,1,127,3.9,,,lewisda02
95,Perry Anderson,1986,1991,5,208,24,33,57,-22,553,20,4,0,2,29,4,0,184,13.0,,,anderpe01
96,Merlin Malinowski,1979,1983,5,207,49,88,137,-64,105,43,5,1,3,60,27,1,347,14.1,,,malinme01
97,Erik Rasmussen,2004,2007,3,207,15,18,33,-2,98,14,1,0,0,17,1,0,193,7.8,1943,9:23,rasmuer01
98,Yegor Sharangovich,2021,2023,3,205,53,53,106,-21,43,44,4,5,8,50,1,2,413,12.8,3244,15:49,sharaye01
99,Bob MacMillan,1982,1984,3,199,54,84,138,-64,58,43,11,0,6,60,21,3,340,15.9,,,macmibo01
100,Kevin Dean,1995,1999,5,198,4,29,33,28,72,2,2,0,0,23,5,1,140,2.9,973,15:42,deanke01
101,John Van Boxmeer,1977,1979,3,197,23,87,110,-56,165,14,9,0,0,53,34,0,538,4.3,,,vanbojo01
102,Sergei Nemchinov,1999,2002,4,196,27,43,70,7,50,24,2,1,5,38,3,2,187,14.4,2500,12:45,nemchse01
103,Jim McKenzie,2001,2003,3,196,9,15,24,3,330,8,1,0,2,13,2,0,107,8.4,1495,7:38,mckenji02
104,Steve Thomas,1996,1998,3,193,55,64,119,11,176,45,10,0,12,50,14,0,427,12.9,,,thomast01
105,Pat Conacher,1986,1992,6,193,24,29,53,12,75,22,0,2,2,27,0,2,185,13.0,,,conacpa01
106,Mike Peluso,1994,1997,4,192,9,35,44,28,619,9,0,0,1,35,0,0,126,7.1,,,pelusmi01
107,Ben Lovejoy,2017,2019,3,190,5,17,22,1,97,5,0,0,1,16,0,1,228,2.2,3546,18:40,lovejbe01
108,Nelson Pyatt,1977,1980,4,189,39,36,75,-63,32,36,3,0,4,33,3,0,299,13.0,,,pyattne01
109,P.K. Subban,2020,2022,3,189,17,42,59,-45,187,13,4,0,4,34,7,1,364,4.7,3897,20:37,subbapk01
110,Jesper Boqvist,2020,2023,4,189,28,27,55,-17,22,27,1,0,4,26,1,0,216,13.0,2243,11:52,boqvije01
111,Greg Adams,1985,1987,3,186,67,78,145,-37,58,46,21,0,3,56,22,0,407,16.5,,,adamsgr02
112,Sami Vatanen,2018,2021,4,184,14,60,74,-28,94,9,5,0,0,37,21,2,366,3.8,3922,21:19,vatansa01
113,Yvon Vautour,1981,1984,4,182,23,32,55,-63,375,19,4,0,1,28,4,0,216,10.6,,,vautoyv01
114,Sheldon Souray,1998,2000,3,182,4,22,26,17,265,4,0,0,1,20,2,0,249,1.6,1939,15:54,sourash01
115,Alexander Semak,1992,1995,4,180,56,71,127,31,105,47,6,3,9,53,15,3,382,14.7,,,semakal01
116,Rick Meagher,1983,1985,3,180,40,48,88,-40,49,29,10,1,4,37,9,2,401,10.0,,,meaghri01
117,Jack Valiquette,1979,1981,3,178,51,68,119,-60,27,35,14,2,5,47,20,1,344,14.8,,,valiqja01
118,Mike Christie,1978,1981,4,178,4,35,39,-81,194,4,0,0,0,30,4,1,139,2.9,,,chrismi01
119,Eric Weinrich,1989,1992,4,173,13,66,79,20,114,6,7,0,1,35,30,1,212,6.1,,,weinrer01
120,Jim McElmury,1975,1978,4,173,14,46,60,-77,47,11,3,0,2,22,24,0,260,5.4,,,mcelmji01
