--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
85,Tucker Poolman,2018,2021,3,120,5,14,19,-1,26,4,0,1,1,14,0,0,141,3.5,2010,16:45,poolmtu01
86,Steve McCarthy,2006,2008,3,117,12,21,33,-19,80,7,5,0,0,9,12,0,112,10.7,1840,15:43,mccarst01
87,Kyle Wellwood,2012,2013,2,116,24,38,62,3,6,20,4,0,3,30,8,0,130,18.5,1657,14:17,wellwky01
88,Logan Stanley,2021,2023,3,114,3,17,20,13,91,3,0,0,1,16,0,1,154,1.9,1657,14:32,stanllo01
89,Tim Stapleton,2010,2012,3,114,18,18,36,-11,24,12,6,0,4,11,7,0,124,14.5,1211,10:37,staplti01
90,Grant Clitsome,2012,2015,4,112,6,29,35,6,52,4,2,0,0,26,3,0,133,4.5,2058,18:22,clitsgr01
91,Ľuboš Bartečko,2002,2003,2,108,20,23,43,-12,38,19,1,0,1,20,3,0,150,13.3,1490,13:48,bartelu01
92,Nic Petan,2016,2019,4,108,5,18,23,-13,30,5,0,0,1,9,9,0,108,4.6,1114,10:19,petanni01
93,Nathan Beaulieu,2019,2022,4,105,1,17,18,8,81,1,0,0,1,16,0,1,113,0.9,1626,15:29,beaulna01
94,Pascal Rhéaume,2002,2003,2,98,15,18,33,-11,49,7,6,2,3,14,3,1,131,11.5,1294,13:12,rheaupa01
95,Steve Staios,2000,2001,2,97,11,16,27,-28,203,7,4,0,0,9,7,0,194,5.7,1873,19:19,staiost01
96,James Wright,2013,2014,2,97,2,5,7,-8,46,2,0,0,0,5,0,0,73,2.7,1006,10:22,wrighja02
97,Dean Sylvester,2000,2001,2,95,21,16,37,-30,32,19,2,0,2,10,6,0,180,11.7,1320,13:53,sylvede01
98,Francis Lessard,2002,2006,4,91,1,3,4,-6,268,1,0,0,0,3,0,0,28,3.6,458,5:02,lessafr01
99,Eric Tangradi,2013,2014,2,91,4,6,10,-10,43,4,0,0,0,6,0,0,96,4.2,846,9:18,tangrer01
100,Gord Murphy,2000,2001,2,85,4,21,25,-37,50,2,2,0,0,9,9,3,118,3.4,1875,22:03,murphgo01
101,Morgan Barron,2022,2023,2,84,10,15,25,1,35,9,0,1,2,12,1,2,136,7.4,1077,12:49,barromo01
102,Dominic Toninato,2021,2023,3,84,7,9,16,1,24,6,0,1,1,5,1,3,53,13.2,712,8:28,tonindo01
103,Steve Guolla,2000,2001,2,83,16,25,41,-19,27,12,4,0,3,17,4,4,130,12.3,1281,15:26,guollst01
104,Alexei Zhitnik,2007,2008,2,83,5,17,22,-4,72,3,2,0,2,8,8,1,101,5.0,1701,20:30,zhitnal01
105,Maxim Afinogenov,2010,2010,1,82,24,37,61,-17,46,18,6,0,3,25,12,0,181,13.3,1426,17:24,afinoma01
106,Marko Daňo,2016,2018,3,82,10,12,22,-9,24,8,2,0,2,11,1,0,105,9.5,862,10:31,danoma01
107,Mark Popovic,2006,2010,4,80,2,5,7,-8,20,2,0,0,0,5,0,0,56,3.6,1133,14:10,popovma01
108,Anthony Stewart,2011,2011,1,80,14,25,39,-10,55,9,5,0,2,20,5,0,141,9.9,1198,14:58,stewaan01
109,Boris Valábik,2008,2010,3,80,0,7,7,-14,210,0,0,0,0,7,0,0,43,0.0,1183,14:47,valabbo01
110,Niclas Bergfors,2010,2011,2,79,19,27,46,-14,6,15,4,0,3,20,7,0,182,10.4,1181,14:57,bergfni01
111,Pascal Dupuis,2007,2008,2,79,13,7,20,-10,28,10,0,3,2,6,1,0,151,8.6,1200,15:12,dupuipa01
112,Jaroslav Modrý,2006,2006,1,79,7,31,38,-9,76,2,5,0,2,9,22,0,143,4.9,1643,20:48,modryja01
113,Donald Audette,2000,2001,2,78,39,43,82,-7,76,24,13,2,3,27,16,0,237,16.5,1601,20:32,audetdo01
114,Tanner Glass,2012,2012,1,78,5,11,16,-12,73,5,0,0,1,11,0,0,86,5.8,1047,13:25,glassta01
115,Dylan Samberg,2022,2023,2,78,2,11,13,13,29,2,0,0,0,10,0,1,63,3.2,1163,14:55,sambedy01
116,Petr Buzek,2000,2002,3,77,5,14,19,-24,62,2,3,0,0,10,4,0,103,4.9,1390,18:03,buzekpe01
117,Jon Sim,2007,2007,1,77,17,12,29,-1,60,15,2,0,1,11,1,0,141,12.1,904,11:45,simjo01
118,Pavel Kubina,2010,2010,1,76,6,32,38,0,66,4,2,0,1,23,8,1,159,3.8,1720,22:38,kubinpa01
119,Devin Setoguchi,2014,2014,1,75,11,16,27,-7,22,9,2,0,3,15,1,0,129,8.5,1129,15:03,setogde01
