--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
114,Kent Johnson,2022,2023,2,88,16,27,43,-17,16,11,5,0,3,18,9,0,131,12.2,1259,14:18,johnske01
115,John Moore,2011,2013,3,86,2,6,8,-28,10,2,0,0,0,5,0,1,78,2.6,1330,15:28,moorejo01
116,Gregory Campbell,2016,2016,1,82,3,8,11,-6,78,3,0,0,2,8,0,0,58,5.2,866,10:34,campbgr01
117,Jake Bean,2022,2023,2,81,8,23,31,-7,32,8,0,0,2,17,5,1,106,7.5,1598,19:44,beanja01
118,Kevin Connauton,2015,2016,2,81,10,17,27,11,50,10,0,0,4,12,5,0,130,7.7,1329,16:25,connake01
119,Sam Gagner,2017,2017,1,81,18,32,50,10,22,10,8,0,1,22,10,0,178,10.1,1111,13:43,gagnesa01
120,Johnny Gaudreau,2023,2023,1,80,21,53,74,-33,22,18,3,0,4,32,21,0,220,9.5,1553,19:25,gaudrjo01
121,Radoslav Suchý,2006,2006,1,79,1,7,8,-8,30,1,0,0,0,6,0,1,33,3.0,1574,19:55,suchyra01
122,Gabriel Carlsson,2017,2022,6,75,3,13,16,-4,22,3,0,0,0,12,1,0,57,5.3,941,12:32,carlsga01
123,Jan Hrdina,2006,2006,1,75,10,23,33,-8,78,5,4,1,0,14,8,1,78,12.8,1272,16:58,hrdinja01
124,Jaroslav Balaštík,2006,2007,2,74,13,11,24,-4,30,5,8,0,2,10,1,0,164,7.9,913,12:20,balasja01
125,Blake Sloan,2001,2002,2,74,3,7,10,-20,59,3,0,0,0,7,0,0,65,4.6,842,11:23,sloanbl01
126,Bruce Gardiner,2001,2001,1,73,7,15,22,-1,78,7,0,0,1,15,0,0,60,11.7,1066,14:36,gardibr01
127,Kevin Stenlund,2019,2022,4,71,11,9,20,-2,22,8,3,0,2,6,3,0,105,10.5,915,12:53,stenlke01
128,Blake Comeau,2013,2014,2,70,7,14,21,3,42,7,0,0,0,14,0,0,111,6.3,841,12:01,comeabl01
129,Erik Gudbranson,2023,2023,1,70,1,12,13,-24,57,1,0,0,1,12,0,0,102,1.0,1491,21:18,gudbrer01
130,Radim Bičánek,2001,2002,2,69,1,7,8,-14,40,1,0,0,0,6,1,0,54,1.9,966,14:00,bicanra01
131,Alexandre Picard,2006,2010,5,67,0,2,2,-9,58,0,0,0,0,1,1,0,53,0.0,524,7:49,picaral02
132,Kevyn Adams,2001,2001,1,66,8,12,20,-4,52,8,0,0,1,11,0,1,84,9.5,1010,15:18,adamske01
133,Mathieu Olivier,2023,2023,1,66,5,10,15,-20,81,5,0,0,1,10,0,0,75,6.7,768,11:38,olivima01
134,Colton Gillies,2012,2013,2,65,3,5,8,-3,42,3,0,0,0,5,0,0,41,7.3,642,9:52,gillico01
135,Steve Heinze,2001,2001,1,65,22,20,42,-19,38,8,14,0,3,15,5,0,125,17.6,1223,18:49,heinzst01
136,Petteri Nummelin,2001,2001,1,61,4,12,16,-11,10,2,2,0,0,4,8,0,99,4.0,1051,17:14,nummepe01
137,Jack Skille,2014,2015,2,61,10,2,12,-16,22,10,0,0,1,2,0,0,118,8.5,702,11:31,skillja01
138,Tim Berni,2023,2023,1,59,1,2,3,-26,34,1,0,0,0,2,0,0,58,1.7,1001,16:58,berniti01
139,Kirill Marchenko,2023,2023,1,59,21,4,25,-23,16,14,7,0,1,3,1,0,131,16.0,955,16:11,marchki01
140,Alexander Selivanov,2001,2001,1,59,8,11,19,-11,38,3,5,0,2,9,2,0,104,7.7,832,14:06,selival01
141,Michael Chaput,2014,2016,3,58,2,6,8,-5,28,2,0,0,0,6,0,0,39,5.1,560,9:39,chapumi01
142,Rene Bourque,2015,2016,2,57,7,5,12,-11,42,6,1,0,1,5,0,0,100,7.0,632,11:05,bourqre01
143,Christian Bäckman,2009,2009,1,56,2,5,7,5,32,1,1,0,1,4,1,0,54,3.7,877,15:39,backmch01
144,Matt Davidson,2001,2003,3,56,5,7,12,-21,28,5,0,0,0,7,0,0,48,10.4,685,12:14,davidma01
