--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
131,Greg Theberge,1980,1984,5,153,15,63,78,-19,73,4,11,0,1,24,39,0,327,4.6,,,thebegr01
132,Martin Fehérváry,2020,2023,3,152,14,20,34,2,63,13,0,1,3,19,0,1,194,7.2,2988,19:40,feherma01
133,Randy Burridge,1992,1995,4,150,48,61,109,-4,125,30,17,1,8,31,28,2,290,16.6,,,burrira01
134,Mike Grier,2003,2004,2,150,23,29,52,-33,68,17,3,3,2,21,8,0,248,9.3,2644,17:38,griermi01
135,Viktor Kozlov,2008,2009,2,148,29,66,95,19,34,25,4,0,2,44,22,0,372,7.8,2473,16:43,kozlovi01
136,Paul MacKinnon,1980,1984,5,147,5,23,28,-9,91,4,1,0,0,22,1,0,116,4.3,,,mackipa01
137,Yvon Corriveau,1986,1990,5,146,23,18,41,11,220,22,1,0,2,18,0,0,177,13.0,,,corriyv01
138,Rick Bragnalo,1976,1979,4,145,15,35,50,-26,46,12,1,2,1,27,8,0,179,8.4,,,bragnri01
139,Robert Lang,2003,2004,2,145,51,92,143,14,46,31,20,0,4,49,43,0,295,17.3,2911,20:05,langro01
140,Wes Jarvis,1980,1982,3,144,21,41,62,-7,56,20,0,1,0,37,2,2,125,16.8,,,jarviwe01
141,Ben Clymer,2006,2007,2,143,23,30,53,-24,116,20,3,0,3,17,13,0,227,10.1,2011,14:04,clymebe01
142,Trent Whitfield,2001,2004,4,143,9,11,20,-1,83,8,0,1,3,11,0,0,104,8.7,1441,10:05,whitftr01
143,Phil Housley*,1997,1998,2,141,17,54,71,-20,48,8,7,2,2,22,32,0,283,6.0,,,houslph01
144,Mark Lofthouse,1978,1981,4,141,31,30,61,-25,42,29,2,0,1,25,5,0,237,13.1,,,lofthma01
145,Kip Miller,2003,2004,2,138,21,60,81,-11,26,12,9,0,6,37,22,1,163,12.9,2005,14:32,milleki01
146,Pat Peake,1994,1998,5,134,28,41,69,3,105,17,11,0,4,27,14,0,259,10.8,,,peakepa01
147,Bob Girard,1978,1980,3,132,18,29,47,-20,42,17,1,0,2,28,0,1,103,17.5,,,girarbo01
148,Kevin Kaminski,1994,1997,4,132,3,10,13,-5,483,3,0,0,1,9,1,0,50,6.0,,,kaminke01
149,Mike Lalor,1991,1992,2,132,6,12,18,-9,125,6,0,0,1,12,0,0,103,5.8,,,lalormi01
150,Peter Scamurra,1976,1980,4,132,8,25,33,-57,59,5,2,1,0,24,1,0,110,7.3,,,scamupe01
151,Brian Willsie,2004,2011,3,132,29,28,57,-26,95,18,9,2,3,14,14,0,270,10.7,1995,15:07,willsbr01
152,Neil Sheehy,1989,1990,2,131,4,9,13,7,475,4,0,0,0,9,0,0,54,7.4,,,sheehne01
153,Al Hangsleben,1980,1982,3,130,16,27,43,-7,262,14,2,0,1,22,5,0,190,8.4,,,hangsal01
154,Stephen Peat,2002,2006,4,130,8,2,10,-16,234,8,0,0,0,2,0,0,41,19.5,733,5:38,peatst01
155,Bob Rouse,1989,1991,3,130,9,33,42,-7,224,8,1,0,2,25,8,0,141,6.4,,,rousebo01
156,Devante Smith-Pelly,2018,2019,2,129,11,13,24,-12,53,11,0,0,1,13,0,0,163,6.7,1512,11:43,smithde06
157,Bill Collins,1977,1978,2,128,21,23,44,-39,44,18,0,3,2,22,0,1,191,11.0,,,collibi01
158,Bill Riley,1975,1979,4,125,28,28,56,-18,313,18,10,0,2,21,7,0,136,20.6,,,rileybi01
159,Jamie Heward,2006,2007,2,123,11,33,44,-1,81,5,6,0,3,14,16,3,190,5.8,2403,19:32,hewarja01
160,Randy Holt,1982,1983,2,123,2,14,16,-11,525,2,0,0,0,13,0,1,62,3.2,,,holtra01
161,Jim Johnson,1994,1996,3,121,2,17,19,2,89,2,0,0,0,15,2,0,100,2.0,,,johnsji02
162,Leif Svensson,1979,1980,2,121,6,40,46,-12,49,6,0,0,0,28,11,1,113,5.3,,,svensle01
163,Jason Doig,2003,2004,2,120,5,14,19,-15,213,5,0,0,1,14,0,0,100,5.0,2025,16:52,doigja01
164,Justin Schultz,2021,2022,2,120,7,43,50,-3,26,5,2,0,2,32,11,0,159,4.4,2127,17:43,schulju01
165,Anthony Mantha,2021,2023,3,118,24,34,58,-4,53,22,2,0,2,30,4,0,239,10.0,1762,14:56,manthan01
166,Joel Kwiatkowski,2003,2004,2,114,6,9,15,-27,101,4,2,0,0,8,1,0,118,5.1,2229,19:33,kwiatjo01
167,Michael Latta,2014,2016,3,113,4,13,17,4,130,4,0,0,0,13,0,0,59,6.8,923,8:10,lattami01
168,Greg Smith,1986,1988,3,113,1,18,19,2,108,1,0,0,0,15,2,1,67,1.5,,,smithgr01
169,Peter Sundström,1988,1989,2,111,12,19,31,-7,48,11,0,1,1,19,0,0,128,9.4,,,sundspe01
170,Shawn Anderson,1993,1994,2,110,2,15,17,-3,30,1,1,0,0,12,3,0,73,2.7,,,andersh01
171,Christian Djoos,2018,2020,3,110,4,20,24,23,14,4,0,0,0,20,0,0,94,4.3,1513,13:45,djoosch01
172,Rick Berry,2003,2004,2,108,2,7,9,-8,195,2,0,0,1,7,0,0,83,2.4,1349,12:29,berryri01
173,Tommy Williams,1975,1976,2,107,30,49,79,-103,18,19,9,2,1,30,19,0,174,17.2,,,willito01
174,Pierre Bouchard,1979,1982,4,106,8,16,24,-28,54,8,0,0,0,16,0,0,96,8.3,,,bouchpi01
175,Gary Sampson,1984,1987,4,105,13,22,35,9,25,12,0,1,1,21,1,0,99,13.1,,,sampsga01
176,Chris Valentine,1982,1984,3,105,43,52,95,-27,127,22,21,0,7,26,26,0,210,20.5,,,valench01
177,Tim Bergland,1990,1994,4,104,8,18,26,-3,58,8,0,0,0,17,0,1,83,9.6,,,berglti01
178,Bryan Erickson,1984,1985,2,102,27,30,57,21,39,22,5,0,3,26,4,0,145,18.6,,,erickbr01
179,Paul Cavallini,1987,1993,3,101,7,13,20,-1,120,7,0,0,1,13,0,0,101,6.9,,,cavalpa01
180,Glen Metropolit,2000,2003,4,101,10,37,47,10,26,9,1,0,2,21,16,0,150,6.7,1284,12:43,metrogl01
181,Tyler Sloan,2009,2011,3,99,4,13,17,-3,50,4,0,0,0,13,0,0,54,7.4,1415,14:18,sloanty01
182,Greg Joly,1975,1976,2,98,9,24,33,-116,72,4,4,1,1,14,10,0,154,5.8,,,jolygr01
183,Bryan Muir,2006,2007,2,98,11,22,33,-6,114,7,4,0,1,7,15,0,164,6.7,1904,19:26,muirbr01
184,Pat Ribble,1980,1982,3,98,5,22,27,-17,147,2,3,0,1,18,4,0,148,3.4,,,ribblpa01
185,Taylor Chorney,2016,2018,3,97,3,12,15,24,40,3,0,0,1,11,0,1,61,4.9,1294,13:20,chornta01
186,Jonas Siegenthaler,2019,2021,3,97,2,11,13,14,55,2,0,0,1,11,0,0,64,3.1,1468,15:08,siegejo01
187,Bob Kelly,1981,1982,2,96,26,40,66,-25,169,18,8,0,4,31,9,0,149,17.4,,,kellybo02
188,Dennis Wideman,2011,2012,2,96,12,41,53,-1,52,7,5,0,3,23,18,0,200,6.0,2297,23:56,widemde01
189,Richard Pánik,2020,2021,2,95,12,19,31,7,52,11,1,0,1,19,0,0,107,11.2,1087,11:26,panikri01
190,Nelson Pyatt,1975,1976,2,93,32,27,59,-70,35,27,5,0,1,17,10,0,184,17.4,,,pyattne01
191,Dave Poulin,1994,1995,2,92,10,24,34,1,62,7,0,3,0,23,0,1,94,10.6,,,poulida02
192,Daniel Winnik,2016,2017,2,92,14,16,30,22,71,12,0,2,3,16,0,0,98,14.3,1173,12:45,winnida01
193,Aliaksei Protas,2022,2023,2,91,7,17,24,-4,12,7,0,0,0,16,1,0,117,6.0,1059,11:38,protaal01
194,Dave Tippett,1991,1992,2,91,8,19,27,-11,40,8,0,0,2,15,1,3,94,8.5,,,tippeda01
195,Jean Pronovost,1981,1982,2,90,23,38,61,-17,65,16,6,1,4,19,16,3,203,11.3,,,pronoje01
196,Rob Zettler,2000,2002,3,90,1,10,11,2,130,1,0,0,0,10,0,0,60,1.7,1242,13:48,zettlro01
197,Enrico Ciccone,1994,1999,2,89,3,1,4,-8,277,3,0,0,0,1,0,0,66,4.5,494,11:29,ciccoen01
198,Daniel Sprong,2021,2022,2,89,21,13,34,13,20,21,0,0,3,13,0,0,176,11.9,1089,12:14,spronda01
199,Brian Bellows,1998,1999,2,87,23,22,45,-15,32,10,13,0,5,19,3,0,192,12.0,1158,15:14,bellobr01
200,Paul MacDermid,1992,1993,2,87,11,13,24,-11,123,10,1,0,3,13,0,0,66,16.7,,,macdepa01
201,Jason Allison,1994,1997,4,86,7,22,29,-8,33,4,3,0,1,15,7,0,103,6.8,,,allisja02
202,Travis Boyd,2018,2020,3,85,8,23,31,17,10,8,0,0,1,20,3,0,63,12.7,874,10:17,boydtr01
203,Dave Shand,1984,1985,2,85,5,16,21,24,158,5,0,0,0,13,1,2,66,7.6,,,shandda01
204,Madison Bowey,2018,2019,2,84,1,17,18,0,62,1,0,0,1,17,0,0,81,1.2,1153,13:44,boweyma01
205,Pat Elynuik,1993,1994,2,84,23,36,59,0,66,14,9,0,1,25,10,1,129,17.8,,,elynupa01
206,Jaroslav Svejkovský,1997,2000,4,84,18,14,32,-15,28,9,9,0,4,7,7,0,127,14.2,547,11:24,svejkja01
207,Grant Ledyard,1988,1989,2,82,7,14,21,-3,57,5,2,0,2,8,6,0,122,5.7,,,ledyagr01
208,Dylan Strome,2023,2023,1,81,23,42,65,-4,24,20,3,0,2,24,18,0,154,14.9,1352,16:41,stromdy01
209,Howard Walker,1981,1982,2,80,2,13,15,-1,126,0,2,0,0,12,1,0,86,2.3,,,walkeho01
210,Brian Engblom,1983,1984,2,79,5,23,28,-10,67,1,4,0,0,17,6,0,118,4.2,,,engblbr01
211,Dave Forbes,1978,1979,2,79,11,12,23,-34,121,11,0,0,0,12,0,0,144,7.6,,,forbeda01
212,Bill Houlder,1988,1990,3,79,2,16,18,13,42,2,0,0,0,12,4,0,74,2.7,,,houldbi01
213,Bill Lesuk,1975,1975,1,79,8,11,19,-33,77,5,1,2,0,8,2,1,119,6.7,,,lesukbi01
214,Dennis Ververgaert,1981,1981,1,79,14,27,41,-4,40,12,2,0,2,22,4,1,111,12.6,,,vervede01
215,Matt Irwin,2022,2023,2,78,3,6,9,-8,42,3,0,0,0,6,0,0,108,2.8,1010,12:57,irwinma01
216,Garry Galley,1987,1988,2,76,8,33,41,14,54,4,4,0,0,10,23,0,129,6.2,,,gallega01
217,Quintin Laing,2008,2010,3,76,3,7,10,7,31,3,0,0,1,7,0,0,88,3.4,808,10:38,laingqu01
218,Ken Houston,1983,1984,2,75,25,14,39,-9,97,16,9,0,0,8,6,0,142,17.6,,,houstke01
219,Connor McMichael,2021,2023,3,75,9,9,18,-3,17,9,0,0,0,9,0,0,108,8.3,775,10:20,mcmicco01
220,Doug Mohns,1975,1975,1,75,2,19,21,-54,54,1,1,0,0,11,7,1,82,2.4,,,mohnsdo01
221,Craig Patrick*,1977,1979,3,75,9,18,27,-19,6,7,2,0,0,13,5,0,91,9.9,,,patricr01
222,Brendan Morrison,2010,2010,1,74,12,30,42,23,40,9,3,0,3,25,5,0,105,11.4,1164,15:44,morribr01
223,Terry Murray,1982,1982,1,74,3,22,25,-15,60,3,0,0,0,20,1,1,75,4.0,,,murrate01
224,Jeff Toms,1998,2000,3,74,5,11,16,-12,14,5,0,0,2,9,0,2,103,4.9,454,11:04,tomsje01
225,Kris Beech,2001,2007,3,73,8,18,26,-13,52,5,3,0,0,10,8,0,83,9.6,875,11:59,beechkr01
226,Bob Gryp,1975,1976,2,73,11,13,24,-42,33,11,0,0,0,8,5,0,97,11.3,,,grypbo01
227,Ed Kastelic,1986,1988,3,73,2,1,3,-5,234,1,1,0,0,1,0,0,37,5.4,,,kasteed01
228,Milan Nový,1983,1983,1,73,18,30,48,4,16,15,3,0,3,22,8,0,132,13.6,,,novymi01
229,Roman Hamrlík,2012,2013,2,72,2,12,14,10,36,2,0,0,1,12,0,0,60,3.3,1369,19:01,hamrlro01
230,Jean-François Fortin,2002,2004,3,71,1,4,5,-4,42,1,0,0,0,4,0,0,44,2.3,1218,17:09,fortije01
231,Jack Hillen,2013,2015,3,71,3,12,15,6,28,3,0,0,1,12,0,0,60,5.0,1076,15:09,hilleja01
232,Jim McTaggart,1981,1982,2,71,3,10,13,-7,205,2,0,1,1,10,0,0,64,4.7,,,mctagji01
233,Sergei Fedorov*,2008,2009,2,70,13,33,46,2,58,10,3,0,3,14,17,2,152,8.6,1187,16:58,fedorse01
234,Bob Paradise,1976,1977,2,70,0,13,13,-44,62,0,0,0,0,13,0,0,41,0.0,,,paradbo01
235,John Barrett,1986,1987,2,69,2,5,7,-14,55,2,0,0,0,5,0,0,44,4.5,,,barrejo01
236,Harvey Bennett,1976,1977,2,67,14,16,30,-34,73,13,1,0,1,16,0,0,94,14.9,,,benneha02
237,Mike Bloom,1975,1975,1,67,7,19,26,-54,84,7,0,0,0,15,4,0,88,8.0,,,bloommi01
238,Bates Battaglia,2004,2004,1,66,4,6,10,-23,38,4,0,0,1,5,1,0,69,5.8,899,13:37,battaba01
239,John Blum,1987,1987,1,66,2,8,10,1,133,2,0,0,0,8,0,0,33,6.1,,,blumjo01
240,Brenden Dillon,2020,2021,2,66,2,17,19,13,70,2,0,0,0,15,1,1,61,3.3,1261,19:07,dillobr01
241,Jakub Klepiš,2006,2007,2,66,4,10,14,-13,36,4,0,0,0,6,4,0,64,6.3,594,9:00,klepija01
242,Bruce Cowick,1975,1975,1,65,5,6,11,-43,41,5,0,0,0,5,1,0,73,6.8,,,cowicbr01
243,Antero Lehtonen,1980,1980,1,65,9,12,21,-3,14,7,2,0,1,11,1,0,101,8.9,,,lehtoan01
244,Mikhail Tatarinov,1991,1991,1,65,8,15,23,-4,82,4,3,1,1,7,8,0,145,5.5,,,tatarmi01
245,Jean Lemieux,1976,1978,3,64,13,25,38,-43,4,3,10,0,1,10,15,0,108,12.0,,,lemieje01
246,Sonny Milano,2023,2023,1,64,11,22,33,-5,18,10,1,0,3,18,4,0,80,13.8,826,12:54,milanso01
247,Radko Gudas,2020,2020,1,63,2,13,15,15,40,2,0,0,1,13,0,0,90,2.2,1054,16:44,gudasra01
248,John Slaney,1994,1995,2,63,7,12,19,0,33,4,3,0,1,5,7,0,91,7.7,,,slanejo01
249,Andrew Brunette,1996,1998,3,62,18,22,40,4,24,12,6,0,3,15,7,0,81,22.2,,,brunean01
250,Martin Erat,2013,2014,2,62,2,25,27,1,26,2,0,0,1,21,4,0,55,3.6,906,14:37,eratma01
251,Paul Nicholson,1975,1977,3,62,4,8,12,-39,18,4,0,0,1,8,0,0,72,5.6,,,nichopa01
252,Steven Oleksy,2013,2015,3,62,3,16,19,15,86,3,0,0,1,16,0,0,53,5.7,999,16:07,oleksst01
253,Torrie Robertson,1981,1983,3,62,10,13,23,-5,208,7,3,0,1,11,2,0,54,18.5,,,roberto01
254,Willie Brossart,1975,1976,2,61,1,8,9,-62,54,1,0,0,0,8,0,0,48,2.1,,,brosswi01
255,Alex Chiasson,2018,2018,1,61,9,9,18,1,26,7,1,1,2,7,0,2,59,15.3,718,11:46,chiasal01
256,Erik Gustafsson,2023,2023,1,61,7,31,38,9,21,7,0,0,2,20,11,0,114,6.1,1242,20:22,gustaer02
257,Brendan Leipsic,2020,2020,1,61,3,8,11,3,13,3,0,0,1,7,1,0,49,6.1,559,9:10,leipsbr01
258,Ivan Čiernik,2002,2004,3,60,9,12,21,7,26,9,0,0,2,12,0,0,74,12.2,677,11:17,cierniv01
259,Bill Mikkelson,1975,1977,2,60,3,7,10,-82,54,0,3,0,0,6,1,0,47,6.4,,,mikkebi01
260,Aaron Volpatti,2013,2015,3,60,2,1,3,-5,56,2,0,0,0,1,0,0,29,6.9,479,7:59,volpaaa01
261,Larry Bolonchuk,1976,1978,3,59,3,9,12,-32,91,3,0,0,0,9,0,0,48,6.3,,,bolonla01
262,Mikhail Grabovski,2014,2014,1,58,13,22,35,6,26,10,3,0,1,17,5,0,81,16.0,914,15:45,grabomi01
263,Rob Murray,1990,1991,2,58,2,10,12,-10,77,2,0,0,0,10,0,0,37,5.4,,,murraro01
264,Ivan Majeský,2006,2006,1,57,1,8,9,-2,66,0,0,1,0,7,0,1,35,2.9,987,17:19,majesiv01
265,Tim Tookey,1981,1982,2,57,18,21,39,-15,53,8,10,0,1,10,11,0,85,21.2,,,tooketi01
266,Stan Gilbertson,1975,1976,2,56,24,21,45,-63,18,17,7,0,1,12,9,0,127,18.9,,,gilbest01
267,David Jensen,1986,1988,3,56,9,9,18,-9,16,7,2,0,0,7,2,0,54,16.7,,,jenseda03
268,František Kučera,2002,2002,1,56,1,13,14,7,12,1,0,0,0,10,2,1,67,1.5,1157,20:39,kucerfr01
269,Mike McEwen,1985,1985,1,56,11,27,38,23,42,7,4,0,3,10,17,0,151,7.3,,,mcewemi01
270,Zdeno Chára,2021,2021,1,55,2,8,10,5,44,2,0,0,0,8,0,0,67,3.0,1008,18:19,charazd01
