--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
61,Connor Murphy,2014,2017,4,258,13,36,49,-30,145,11,1,1,3,34,2,0,284,4.6,4842,18:46,murphco02
62,Mario Marois,1986,1992,5,256,17,116,133,-33,378,11,5,1,1,66,48,2,528,3.2,,,maroima01
63,Mike Sullivan,1999,2002,4,256,13,20,33,-24,66,7,0,6,2,17,1,2,212,6.1,3062,11:58,sullimi01
64,Mike Stapleton,1996,1999,4,253,28,39,67,-18,143,18,6,4,4,32,7,0,340,8.2,1039,13:40,staplmi01
65,Ray Neufeld,1986,1989,4,249,61,66,127,-69,388,40,21,0,8,51,15,0,429,14.2,,,neufera01
66,Jordan Martinook,2015,2018,4,247,26,39,65,-44,103,23,1,2,5,33,2,4,338,7.7,3666,14:51,martijo01
67,Mike Johnson,2001,2006,5,242,47,112,159,29,139,27,17,3,6,85,25,2,430,10.9,4202,17:22,johnsmi01
68,Oleg Tverdovsky,1996,1999,4,241,24,83,107,0,80,14,9,1,5,41,42,0,379,6.3,1706,20:48,tverdol01
69,Lucien DeBlois,1982,1992,4,235,87,101,188,-51,208,71,11,5,12,78,18,5,546,15.9,,,deblolu01
70,Alexei Zhamnov,1993,1996,4,235,103,164,267,-12,205,75,27,1,11,87,77,0,713,14.4,,,zhamnal01
71,Keith Ballard,2006,2008,3,233,19,68,87,-18,243,10,5,4,2,40,26,2,286,6.6,4899,21:02,ballake01
72,Bob Corkum,1997,1999,3,233,30,30,60,-23,85,24,0,6,3,27,1,2,370,8.1,1328,17:15,corkubo01
73,Phil Housley*,1991,1993,3,232,64,195,259,-32,168,34,29,1,9,73,121,1,689,9.3,,,houslph01
74,Steve Reinprecht,2006,2009,4,231,51,92,143,-5,82,35,14,2,6,68,24,0,329,15.5,3735,16:10,reinpst01
75,Teemu Selänne*,1993,1996,4,231,147,159,306,-11,87,95,49,3,14,87,72,0,908,16.2,,,selante01
