--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
126,Dino Ciccarelli*,1993,1996,4,254,107,133,240,48,292,55,52,0,17,84,49,0,566,18.9,,,ciccadi01
127,Jim McFadden,1948,1951,4,253,64,78,142,,40,49,15,0,13,59,18,1,,,,,mcfadji01
128,Terry Harper,1976,1979,4,252,14,56,70,-1,230,9,5,0,0,41,11,4,281,5.0,,,harpete01
129,Ron Harris,1963,1972,6,251,8,51,59,-19,342,6,1,1,1,40,10,1,345,2.3,,,harriro01
130,Hec Kilrea,1932,1940,6,251,42,47,89,,101,26,3,0,9,39,3,2,,,,,kilrehe01
131,Doug Barkley,1963,1966,4,247,24,80,104,55,380,18,6,0,1,61,17,2,747,3.2,,,barkldo01
132,Bob Rouse,1995,1998,4,247,6,33,39,18,199,4,0,2,1,31,1,1,224,2.7,,,rousebo01
133,Thommie Bergman,1973,1980,6,246,21,44,65,-38,243,16,4,1,3,35,9,0,379,5.5,,,bergmth01
134,Adam Oates*,1986,1989,4,246,54,145,199,-11,65,44,10,0,6,101,43,1,425,12.7,,,oatesad01
135,Brett Hull*,2002,2004,3,245,92,115,207,25,69,61,29,2,14,72,42,1,709,13.0,4398,17:57,hullbr01
136,Adam Erne,2020,2023,4,241,27,35,62,-59,109,24,3,0,3,31,3,1,297,9.1,3162,13:07,ernead01
137,Jimmy Carson,1990,1993,4,240,100,102,202,14,84,60,39,1,12,64,38,0,560,17.9,,,carsoji01
138,Alex Motter,1938,1943,6,240,38,60,98,,131,27,9,2,10,54,4,2,,,,,motteal01
139,Bill Collins,1971,1974,4,239,54,77,131,-19,129,44,6,4,8,63,9,5,582,9.3,,,collibi01
140,Michael Rasmussen,2019,2023,4,238,36,50,86,-36,164,32,4,0,3,45,5,0,352,10.2,3347,14:04,rasmumi01
141,Kelly Kisio,1983,1986,4,236,68,129,197,-5,175,52,13,3,2,90,39,0,428,15.9,,,kisioke01
142,Don Grosso,1939,1945,7,234,71,99,170,,65,60,10,1,9,87,12,0,,,,,grossdo01
143,Paul Coffey*,1993,1996,4,231,46,193,239,72,295,29,15,2,8,85,106,2,765,6.0,,,coffepa01
144,Yves Racine,1990,1993,4,231,22,102,124,2,230,13,9,0,1,59,40,3,446,4.9,,,racinyv01
145,Mathieu Schneider,2003,2007,4,231,48,116,164,69,224,28,18,2,10,51,64,1,574,8.4,5573,24:08,schnema01
146,Dean Prentice,1966,1969,4,230,60,89,149,-13,86,45,11,4,5,69,17,3,589,10.2,,,prentde01
147,Howie Young,1961,1968,5,229,9,46,55,-8,660,9,0,0,2,40,5,1,370,2.4,,,youngho01
148,Ron Duguay,1984,1986,3,227,90,127,217,-74,111,55,31,4,7,80,44,3,567,15.9,,,duguaro01
149,John Chabot,1988,1991,4,226,29,99,128,5,44,21,2,6,1,69,21,9,249,11.6,,,chabojo01
150,Reg Noble*,1928,1933,6,226,23,25,48,,314,,,,3,,,,,,,,noblere01
151,Carson Cooper,1928,1932,5,223,68,48,116,,94,,,,21,,,,,,,,coopeca01
152,Bill Hogaboam,1973,1980,6,221,61,84,145,-60,74,39,19,3,3,61,22,1,401,15.2,,,hogabbi01
153,Perry Miller,1978,1981,4,217,10,51,61,-42,387,4,3,3,2,37,14,0,313,3.2,,,millepe01
154,Garry Unger,1968,1971,4,216,84,68,152,1,165,66,17,1,9,51,16,1,619,13.6,,,ungerga01
155,Eddie Wares,1938,1943,6,216,50,84,134,,106,45,5,0,12,65,17,2,,,,,waresed01
156,Dwight Foster,1983,1986,4,215,48,62,110,-11,212,37,4,7,2,55,5,2,265,18.1,,,fostedw01
157,Al Karlander,1970,1973,4,212,36,56,92,28,70,31,5,0,9,49,7,0,242,14.9,,,karlaal01
158,Billy Dea,1957,1971,4,210,35,25,60,-1,28,33,2,0,7,21,4,0,93,17.2,,,deabi01
159,Len Lunde,1959,1962,4,210,28,50,78,-14,37,17,11,0,2,37,13,0,272,5.1,,,lundele01
160,Paul Ysebaert,1991,1993,3,210,84,86,170,55,113,66,11,7,12,59,24,3,511,16.4,,,ysebapa01
161,Joakim Andersson,2012,2016,5,205,15,21,36,-11,48,15,0,0,2,19,1,1,215,7.0,2444,11:55,anderjo03
162,Viacheslav Fetisov*,1995,1998,4,205,17,81,98,70,246,12,4,1,3,59,21,1,313,5.4,,,fetisvi01
163,George Hay*,1928,1933,5,205,60,52,112,,75,,,,8,,,,,,,,hayge01
164,Ralph Bowman,1935,1940,6,204,6,13,19,,149,6,0,0,0,13,0,0,,,,,bowmara01
165,Larry Johnston,1972,1974,3,203,7,44,51,1,419,7,0,0,2,42,0,2,159,4.4,,,johnsla01
166,Brad McCrimmon,1991,1993,3,203,8,49,57,67,270,4,3,1,1,34,12,3,190,4.2,,,mccribr01
167,Errol Thompson,1978,1981,4,200,76,58,134,-46,102,52,22,2,8,27,31,0,437,17.4,,,thomper01
168,Jimmy Orlando,1937,1943,6,199,6,25,31,,415,4,2,0,1,24,1,0,,,,,orlanji01
169,Dan Labraaten,1979,1981,3,198,52,54,106,-31,28,39,13,0,8,41,13,0,307,16.9,,,labrada01
170,Frank Mahovlich*,1968,1971,4,198,108,88,196,65,129,79,27,2,13,63,24,1,687,15.7,,,mahovfr01
171,Steve Duchesne,2000,2002,3,197,19,65,84,24,118,15,4,0,3,40,25,0,300,6.3,3684,18:42,duchest01
172,Patrick Eaves,2010,2014,5,197,29,27,56,-7,48,24,3,2,3,24,3,0,345,8.4,2433,12:21,eavespa01
173,Dennis Hextall,1976,1979,4,193,39,82,121,-35,457,28,9,2,5,67,14,1,265,14.7,,,hextade01
174,Mike Blaisdell,1981,1983,3,192,44,61,105,-27,80,39,5,0,5,55,6,0,381,11.5,,,blaismi01
175,Marty Barry*,1936,1939,4,191,60,94,154,,60,45,15,0,7,81,12,1,,,,,barryma01
176,Tim Ecclestone,1971,1974,4,191,40,80,120,-37,80,25,14,1,3,59,21,0,448,8.9,,,eccleti01
177,Al Cameron,1976,1979,4,190,7,31,38,-61,263,4,3,0,0,24,7,0,276,2.5,,,cameral01
178,Nick Jensen,2017,2019,3,190,6,37,43,-14,56,6,0,0,0,34,1,2,232,2.6,3435,18:05,jenseni02
179,Filip Zadina,2019,2023,5,190,28,40,68,-51,22,16,12,0,5,29,11,0,380,7.4,2829,14:53,zadinfi01
180,Mike Foligno,1980,1982,3,186,77,83,160,-20,347,62,15,0,5,62,21,0,447,17.2,,,foligmi01
181,George Gee,1949,1951,3,186,41,53,94,,90,37,4,0,6,45,8,0,,,,,geege01
182,Pete Mahovlich,1966,1981,6,186,26,64,90,-26,145,23,3,0,2,45,19,0,287,9.1,,,mahovpe01
183,Jim Korn,1980,1982,3,185,11,35,46,-30,458,8,2,1,1,30,5,0,181,6.1,,,kornji01
184,Dallas Drake,1993,2008,3,184,31,51,82,8,171,24,3,4,7,41,9,1,213,14.6,696,10:42,drakeda01
185,Ron Stackhouse,1972,1974,3,184,12,68,80,13,196,11,1,0,0,52,14,2,292,4.1,,,stackro01
186,Ivan Boldirev,1983,1985,3,183,67,95,162,-28,50,40,26,1,7,64,31,0,352,19.0,,,boldiiv01
187,Sheldon Kennedy,1990,1994,5,183,31,33,64,-6,122,29,1,1,4,30,3,0,237,13.1,,,kennesh01
188,Tomáš Kopecký,2006,2009,4,183,12,20,32,-6,113,10,1,1,3,18,2,0,225,5.3,1761,9:37,kopecto01
189,Tim Higgins,1987,1989,3,181,29,36,65,6,280,27,0,2,2,33,1,2,218,13.3,,,higgiti01
190,Eddie Bruneteau,1941,1949,7,180,40,42,82,,35,32,8,0,5,32,10,0,,,,,bruneed01
191,Colin Campbell,1983,1985,3,178,5,16,21,-13,309,5,0,0,1,15,0,1,112,4.5,,,campbco01
192,Harold Jackson,1941,1947,6,178,16,32,48,,202,14,1,1,4,32,0,0,,,,,jacksha01
193,Greg Johnson,1994,1997,4,177,33,48,81,-5,78,24,8,1,2,33,13,2,223,14.8,,,johnsgr02
194,Dan Maloney,1976,1978,3,177,56,81,137,6,418,41,12,3,4,60,20,1,524,10.7,,,malonda01
195,Lane Lambert,1984,1986,3,176,36,29,65,-18,349,35,1,0,3,27,2,0,187,19.3,,,lambela01
196,Michel Bergeron,1975,1978,4,174,64,46,110,-35,156,48,16,0,9,37,9,0,444,14.4,,,bergemi01
197,Danny Grant,1975,1978,4,174,64,62,126,-65,58,38,24,2,6,36,20,6,379,16.9,,,grantda01
198,Doug Houda,1986,1999,6,172,5,26,31,1,251,5,0,0,0,26,0,0,134,3.7,21,6:51,houdado01
199,André St. Laurent,1978,1984,3,172,50,73,123,-26,249,34,14,2,5,52,18,3,374,13.4,,,stlauan01
200,Larry Jeffrey,1962,1965,4,170,24,34,58,-29,217,22,2,0,5,31,3,0,302,7.9,,,jeffrla01
201,Bucko McDonald,1935,1939,5,170,11,20,31,,76,11,0,0,3,18,1,1,,,,,mcdonbu01
202,Pete Stemkowski,1968,1971,4,170,51,63,114,12,207,40,8,3,10,54,9,0,546,9.3,,,stemkpe01
203,Jason Woolley,2003,2006,3,170,11,50,61,34,78,10,1,0,3,28,22,0,155,7.1,2547,14:59,woollja01
204,Brent Gilchrist,1998,2002,5,169,20,25,45,-7,113,15,5,0,5,24,1,0,260,7.7,1210,11:12,gilchbr01
205,Forbes Kennedy,1958,1962,4,168,14,22,36,0,198,14,0,0,1,17,3,2,28,7.1,,,kennefo01
206,Robby Fabbri,2020,2023,4,166,48,47,95,-50,91,33,15,0,12,35,12,0,320,15.0,2834,17:04,fabbrro01
207,Trevor Daley,2018,2020,3,164,11,20,31,-30,68,9,0,2,5,16,2,2,187,5.9,3083,18:48,daleytr01
208,Moritz Seider,2022,2023,2,164,12,80,92,-20,74,8,3,1,5,44,33,3,327,3.7,3788,23:06,seidemo01
209,Brent Fedyk,1988,1992,5,162,24,32,56,12,88,23,1,0,2,29,1,2,170,14.1,,,fedykbr01
210,Jimmy Peters,1950,1954,3,162,31,39,70,,40,25,5,1,4,33,6,0,,,,,peterji01
211,Luc Robitaille*,2002,2003,2,162,41,40,81,2,88,25,16,0,5,23,17,0,338,12.1,2241,13:50,robitlu01
212,Pius Suter,2022,2023,2,161,29,31,60,-14,28,26,0,3,4,28,3,0,272,10.7,2499,15:31,suterpi01
213,Mark Osborne,1982,1983,2,160,45,65,110,-46,144,37,8,0,6,55,10,0,340,13.2,,,osborma01
214,Henry Boucha,1972,1974,3,159,34,26,60,-28,116,28,2,4,5,24,2,0,279,12.2,,,bouchhe01
215,Tomáš Jurčo,2014,2017,4,159,15,24,39,-8,46,12,3,0,0,22,2,0,224,6.7,1774,11:10,jurcoto01
216,Robert Lang,2004,2007,3,159,40,79,119,31,138,26,14,0,8,50,29,0,351,11.4,2630,16:32,langro01
217,Bob Baun,1969,1971,3,158,5,37,42,32,255,5,0,0,0,35,2,0,246,2.0,,,baunbo01
218,Lucas Raymond,2022,2023,2,156,40,62,102,-49,40,30,10,0,6,35,27,0,318,12.6,2775,17:47,raymolu01
