--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
331,Grant Ledyard,1998,1998,1,49,2,13,15,-2,14,1,1,0,0,11,1,1,57,3.5,,,ledyagr01
332,Mike Santorelli,2014,2014,1,49,10,18,28,9,6,10,0,0,3,16,0,2,91,11.0,910,18:34,santomi01
333,Reid Boucher,2017,2019,3,48,8,4,12,-19,6,6,2,0,1,3,1,0,92,8.7,562,11:42,bouchre01
334,Jay Mazur,1989,1992,4,47,11,7,18,-1,20,9,1,1,2,7,0,0,66,16.7,,,mazurja01
335,Jack Studnicka,2023,2023,1,47,4,4,8,-11,12,4,0,0,1,4,0,0,65,6.2,501,10:39,studnja01
336,Rick Vaive,1980,1980,1,47,13,8,21,-11,111,12,1,0,4,8,0,0,89,14.6,,,vaiveri01
337,Alexandre Bolduc,2009,2011,3,46,2,3,5,-1,38,2,0,0,1,3,0,0,42,4.8,379,8:15,boldual01
338,José Charbonneau,1989,1995,3,46,8,8,16,-6,55,7,1,0,0,7,1,0,46,17.4,,,charbjo01
339,Andrew Ebbett,2012,2013,2,46,6,6,12,1,10,5,1,0,2,6,0,0,50,12.0,518,11:15,ebbetan01
340,Josh Holden,1999,2001,3,46,4,9,13,-8,12,3,1,0,0,9,0,0,61,6.6,539,11:43,holdejo01
341,Ilya Mikheyev,2023,2023,1,46,13,15,28,3,2,12,1,0,2,13,2,0,91,14.3,778,16:55,mikheil01
342,Darren Langdon,2003,2003,1,45,0,1,1,-2,143,0,0,0,0,1,0,0,15,0.0,244,5:26,langdda01
343,Curtis Lazar,2023,2023,1,45,3,2,5,-5,14,3,0,0,0,2,0,0,54,5.6,547,12:10,lazarcu01
344,Andrew McBain,1990,1992,3,45,5,10,15,-7,54,2,3,0,0,8,2,0,69,7.2,,,mcbaian01
345,Adam Cracknell,2016,2016,1,44,5,5,10,1,14,5,0,0,1,5,0,0,55,9.1,546,12:24,crackad01
346,Todd Warriner,2002,2003,2,44,6,10,16,4,34,6,0,0,0,9,1,0,71,8.5,477,10:50,warrito01
347,Anders Eldebrink,1982,1983,2,43,2,9,11,-3,21,2,0,0,0,4,5,0,53,3.8,,,eldeban01
348,Rob Flockhart,1977,1979,3,43,1,2,3,-16,12,1,0,0,0,2,0,0,26,3.8,,,flockro01
349,John LeBlanc,1987,1988,2,43,13,10,23,-11,18,10,3,0,1,9,1,0,90,14.4,,,leblajo01
350,Tucker Poolman,2022,2023,2,43,1,3,4,3,12,1,0,0,0,3,0,0,50,2.0,722,16:47,poolmtu01
351,Marc Chouinard,2007,2007,1,42,2,2,4,-2,10,1,1,0,0,2,0,0,15,13.3,396,9:26,chouima01
352,Sheldon Kannegiesser,1978,1978,1,42,1,7,8,-8,36,1,0,0,0,7,0,0,22,4.5,,,kannesh01
353,Ron Stewart,1972,1972,1,42,3,1,4,-2,10,3,0,0,0,1,0,0,19,15.8,,,stewaro01
354,Mark Wotton,1995,1998,3,42,3,6,9,7,25,2,0,1,0,6,0,0,46,6.5,,,wottoma01
355,Magnus Arvedson,2004,2004,1,41,8,7,15,7,12,6,2,0,4,7,0,0,54,14.8,594,14:30,arvedma01
356,Dean Malkoc,1996,1996,1,41,0,2,2,-10,136,0,0,0,0,2,0,0,8,0.0,,,malkode01
357,Mats Sundin*,2009,2009,1,41,9,19,28,-5,28,4,5,0,2,10,9,0,84,10.7,691,16:51,sundima01
358,Robin Bartel,1987,1987,1,40,0,1,1,0,14,0,0,0,0,1,0,0,16,0.0,,,bartero01
359,Nic Dowd,2018,2018,1,40,3,0,3,-7,16,2,1,0,1,0,0,0,40,7.5,463,11:34,dowdni01
360,Dave Logan,1980,1981,2,40,1,5,6,-8,122,1,0,0,0,5,0,0,34,2.9,,,loganda01
361,Doug Smith,1989,1990,2,40,6,8,14,4,76,4,1,1,1,8,0,0,52,11.5,,,smithdo03
362,Drake Berehowsky,2001,2002,2,39,2,3,5,-5,39,1,1,0,1,3,0,0,28,7.1,577,14:48,berehdr01
363,Mike Brown,2008,2009,2,39,1,1,2,-7,140,1,0,0,0,1,0,0,15,6.7,230,5:53,brownmi02
364,Emerson Etem,2016,2016,1,39,7,5,12,-8,9,7,0,0,1,5,0,0,77,9.1,552,14:10,etemem01
365,Tony Currie,1982,1984,3,38,9,7,16,-3,4,6,3,0,0,7,0,0,57,15.8,,,currito01
366,Jim Dowd,1996,1996,1,38,1,6,7,-8,6,1,0,0,0,5,0,1,35,2.9,,,dowdji01
367,Ronalds Ķēniņš,2015,2016,2,38,4,8,12,-3,14,4,0,0,0,8,0,0,44,9.1,459,12:05,keninro01
368,Nathan LaFayette,1994,1995,2,38,5,5,10,4,6,4,0,1,0,4,1,0,41,12.2,,,lafayna01
369,Michael Peca,1994,1995,2,37,6,6,12,-7,32,4,2,0,1,4,2,0,51,11.8,,,pecami01
370,Garth Rizzuto,1971,1971,1,37,3,4,7,-16,16,2,1,0,0,3,0,1,33,9.1,,,rizzuga01
371,Jim Wiley,1975,1977,3,37,4,6,10,-14,6,4,0,0,0,6,0,0,38,10.5,,,wileyji01
372,Tyler Bouck,2004,2007,3,36,2,3,5,-5,60,1,0,1,0,3,0,0,25,8.0,291,8:06,bouckty01
373,Luc Bourdon,2007,2008,2,36,2,0,2,6,24,1,1,0,0,0,0,0,29,6.9,427,11:52,bourdlu01
374,Oscar Fantenberg,2020,2020,1,36,1,5,6,-10,6,1,0,0,0,4,1,0,45,2.2,573,15:55,fanteos01
375,Roland Eriksson,1979,1979,1,35,2,12,14,-12,4,2,0,0,0,8,4,0,69,2.9,,,eriksro01
376,Willie Huber,1988,1988,1,35,4,10,14,-10,40,2,2,0,0,5,5,0,79,5.1,,,huberwi01
377,Evgeny Namestnikov,1994,1997,3,35,0,8,8,-1,18,0,0,0,0,7,1,0,30,0.0,,,namesjo01
378,Brandon Prust,2016,2016,1,35,1,6,7,-3,59,1,0,0,1,6,0,0,19,5.3,447,12:47,prustbr01
379,Jimmy Carson,1994,1994,1,34,7,10,17,-13,22,5,2,0,1,5,5,0,82,8.5,,,carsoji01
380,Taylor Hall,1984,1987,4,34,7,9,16,-15,25,6,1,0,0,6,3,0,48,14.6,,,hallta01
381,Anthony Beauvillier,2023,2023,1,33,9,11,20,-6,14,6,3,0,3,10,1,0,63,14.3,560,16:59,beauvan01
382,Larry Courville,1996,1998,3,33,1,2,3,-10,16,1,0,0,1,2,0,0,16,6.3,,,courvla01
383,Dave Gagner,1999,1999,1,33,2,12,14,-9,24,2,0,0,1,7,5,0,50,4.0,470,14:14,gagneda01
384,Jamie Huscroft,1998,1999,2,33,0,2,2,-1,118,0,0,0,0,2,0,0,25,0.0,231,8:54,huscrja01
385,Jason Jaffray,2008,2009,2,33,4,6,10,2,33,3,1,0,3,6,0,0,26,15.4,366,11:06,jaffrja01
386,Barry Wilcox,1973,1975,2,33,3,2,5,-10,15,3,0,0,0,2,0,0,52,5.8,,,wilcoba01
387,Claire Alexander,1978,1978,1,32,8,18,26,-6,6,4,4,0,0,12,6,0,105,7.6,,,alexacl01
388,Stu Kulak,1983,1987,2,32,2,2,4,-11,37,1,1,0,1,2,0,0,26,7.7,,,kulakst01
389,Tom Kurvers,1991,1991,1,32,4,23,27,-13,20,1,3,0,0,10,13,0,76,5.3,,,kurveto01
390,Riley Stillman,2023,2023,1,32,0,5,5,-14,23,0,0,0,0,5,0,0,29,0.0,515,16:06,stillri01
