--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
436,Mike Rogers,1986,1986,1,8,1,0,1,-2,0,1,0,0,0,0,0,0,5,20.0,,,rogermi01
437,Terran Sandwith,1998,1998,1,8,0,0,0,-4,6,0,0,0,0,0,0,0,4,0.0,,,sandwte01
438,Cooper Marody,2019,2022,2,7,0,1,1,-1,0,0,0,0,0,1,0,0,7,0.0,48,6:47,marodco01
439,Mike Moller,1986,1987,2,7,2,1,3,2,0,2,0,0,0,1,0,0,12,16.7,,,mollemi01
440,Rob Schremp,2007,2009,3,7,0,3,3,1,2,0,0,0,0,3,0,0,8,0.0,82,11:43,schrero01
441,Dan Smith,2006,2006,1,7,0,0,0,1,7,0,0,0,0,0,0,0,1,0.0,79,11:21,smithda02
442,German Titov,2000,2000,1,7,0,4,4,2,4,0,0,0,0,4,0,0,11,0.0,95,13:33,titovge01
443,Jesse Bélanger,1997,1997,1,6,0,0,0,-3,0,0,0,0,0,0,0,0,8,0.0,,,belanje01
444,Patrick Côté,2001,2001,1,6,0,0,0,-2,18,0,0,0,0,0,0,0,0,,19,3:07,cotepa01
445,Krys Kolanos,2006,2006,1,6,0,0,0,-1,2,0,0,0,0,0,0,0,7,0.0,46,7:39,kolankr01
446,David Roberts,1996,1996,1,6,2,4,6,0,6,2,0,0,0,4,0,0,12,16.7,,,roberda01
447,Peter Sarno,2004,2004,1,6,1,0,1,2,2,1,0,0,0,0,0,0,5,20.0,62,10:15,sarnope01
448,Ken Solheim,1986,1986,1,6,1,0,1,-2,5,1,0,0,0,0,0,0,8,12.5,,,solheke01
449,Shawn Belle,2011,2011,1,5,0,0,0,-2,0,0,0,0,0,0,0,0,7,0.0,82,16:26,bellesh01
450,Jim Ennis,1988,1988,1,5,1,0,1,0,10,0,1,0,0,0,0,0,9,11.1,,,ennisji01
451,David Haas,1991,1991,1,5,1,0,1,-2,0,1,0,0,0,0,0,0,4,25.0,,,haasda01
452,Ken Hammond,1989,1989,1,5,0,1,1,-2,8,0,0,0,0,1,0,0,1,0.0,,,hammoke01
453,Mike Hudson,1993,1993,1,5,0,1,1,-1,2,0,0,0,0,1,0,0,2,0.0,,,hudsomi01
454,Alexander Kerch,1994,1994,1,5,0,0,0,-8,2,0,0,0,0,0,0,0,4,0.0,,,kerchal01
455,Marc Laforge,1994,1994,1,5,0,0,0,-2,21,0,0,0,0,0,0,0,0,,,,laforma02
456,Charles Linglet,2010,2010,1,5,0,0,0,-5,2,0,0,0,0,0,0,0,7,0.0,51,10:16,linglch01
457,Chris Minard,2010,2010,1,5,0,1,1,-3,0,0,0,0,0,0,1,0,4,0.0,49,9:44,minarch01
458,Todd Strueby,1982,1984,3,5,0,1,1,0,2,0,0,0,0,1,0,0,3,0.0,,,strueto01
459,Alex Tidey,1980,1980,1,5,0,0,0,-3,8,0,0,0,0,0,0,0,4,0.0,,,tideyal01
460,Michael Ware,1989,1990,2,5,0,1,1,0,15,0,0,0,0,1,0,0,1,0.0,,,waremi01
461,Chris Wideman,2019,2019,1,5,0,2,2,-2,4,0,0,0,0,2,0,0,6,0.0,57,11:26,widemch01
462,Valentin Zykov,2019,2019,1,5,0,0,0,-1,2,0,0,0,0,0,0,0,0,,36,7:08,zykovva01
463,Ron Areshenkoff,1980,1980,1,4,0,0,0,-4,0,0,0,0,0,0,0,0,3,0.0,,,areshro01
464,Jason Bowen,1998,1998,1,4,0,0,0,0,10,0,0,0,0,0,0,0,3,0.0,,,bowenja01
465,Jeff Brubaker,1986,1986,1,4,1,0,1,1,12,1,0,0,0,0,0,0,4,25.0,,,brubaje01
466,Dave Donnelly,1988,1988,1,4,0,0,0,0,4,0,0,0,0,0,0,0,3,0.0,,,donneda01
467,Taylor Fedun,2014,2014,1,4,2,0,2,-1,0,2,0,0,0,0,0,0,6,33.3,49,12:13,fedunta01
468,Kim Issel,1989,1989,1,4,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,,,isselki01
469,Daniel Lacroix,1999,1999,1,4,0,0,0,0,13,0,0,0,0,0,0,0,5,0.0,25,6:22,lacroda01
470,Terry Martin,1985,1985,1,4,0,2,2,3,0,0,0,0,0,2,0,0,6,0.0,,,martite01
471,Bill McDougall,1993,1993,1,4,2,1,3,2,4,2,0,0,0,1,0,0,8,25.0,,,mcdoubi01
472,Barrie Moore,1997,1997,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,mooreba01
473,David Musil,2015,2015,1,4,0,2,2,-2,2,0,0,0,0,2,0,0,3,0.0,79,19:48,musilda01
474,Don Nachbaur,1983,1983,1,4,0,0,0,-1,17,0,0,0,0,0,0,0,0,,,,nachbdo01
475,Walt Poddubny,1982,1982,1,4,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,,,podduwa01
476,Marko Tuomainen,1995,1995,1,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,,,tuomama01
477,Igor Vyazmikin,1991,1991,1,4,1,0,1,0,0,1,0,0,1,0,0,0,5,20.0,,,vyazmig01
478,Brad Aitken,1991,1991,1,3,0,1,1,-1,0,0,0,0,0,1,0,0,0,,,,aitkebr01
479,Taylor Beck,2017,2017,1,3,0,0,0,-1,4,0,0,0,0,0,0,0,0,,18,5:53,beckta01
480,Jim Harrison,1980,1980,1,3,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,,,harriji01
481,Alex Henry,2003,2003,1,3,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,7:02,henryal01
482,Risto Jalo,1986,1986,1,3,0,3,3,2,0,0,0,0,0,3,0,0,3,0.0,,,jalori01
483,Kari Jalonen,1984,1984,1,3,0,0,0,-2,0,0,0,0,0,0,0,0,0,,,,jalonka01
484,Reg Kerr,1984,1984,1,3,0,0,0,-3,0,0,0,0,0,0,0,0,3,0.0,,,kerrre01
485,Mikko Luoma,2004,2004,1,3,0,1,1,0,0,0,0,0,0,1,0,0,4,0.0,53,17:32,luomami01
486,Alan May,1989,1989,1,3,1,0,1,0,7,1,0,0,1,0,0,0,3,33.3,,,mayal01
487,Max Middendorf,1991,1991,1,3,1,0,1,0,2,1,0,0,0,0,0,0,1,100.0,,,middema01
488,Lance Nethery,1982,1982,1,3,0,2,2,1,2,0,0,0,0,2,0,0,1,0.0,,,nethela01
489,Trevor Sim,1990,1990,1,3,0,1,1,0,2,0,0,0,0,1,0,0,0,,,,simtr01
490,Dillon Simpson,2017,2017,1,3,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,33,10:53,simpsdi01
491,Roy Sommer,1981,1981,1,3,1,0,1,0,7,1,0,0,0,0,0,0,1,100.0,,,sommero01
492,Yan Stastny,2006,2006,1,3,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,21,6:53,stastya01
493,Mike Toal,1980,1980,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,toalmi01
494,Wayne Van Dorp,1987,1987,1,3,0,0,0,-1,25,0,0,0,0,0,0,0,3,0.0,,,vandowa01
495,Bryon Baltimore,1980,1980,1,2,0,0,0,4,4,0,0,0,0,0,0,0,2,0.0,,,baltibr01
496,Ladislav Benýšek,1998,1998,1,2,0,0,0,-2,0,0,0,0,0,0,0,0,0,,,,benysla01
497,Sébastien Bisaillon,2007,2007,1,2,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,28,14:12,bisaise01
498,Jesse Boulerice,2009,2009,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,3:43,bouleje01
499,Ron Carter,1980,1980,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,cartero01
500,Jeff Chychrun,1994,1994,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,,,chychje01
501,Philippe Cornet,2012,2012,1,2,0,1,1,0,0,0,0,0,0,1,0,0,0,,21,10:35,corneph01
502,Chris Ferraro,1999,1999,1,2,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,17,8:33,ferrach01
503,Mike Green,2020,2020,1,2,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,33,16:15,greenmi03
