--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
84,Colin Campbell,1975,1979,4,243,14,52,66,19,517,11,2,1,3,46,5,1,254,5.5,,,campbco01
85,Deryk Engelland,2010,2014,5,243,13,34,47,2,308,13,0,0,2,32,1,1,229,5.7,3480,14:19,engelde01
86,Hans Jonsson,2000,2003,4,242,10,38,48,-29,92,5,4,1,1,31,5,2,170,5.9,4373,18:04,jonssha01
87,Mark Eaton,2007,2013,5,241,7,24,31,17,86,6,1,0,1,22,1,1,157,4.5,4563,18:56,eatonma01
88,Gregg Sheppard,1979,1982,4,241,50,73,123,-19,113,40,9,1,6,54,14,5,436,11.5,,,sheppgr01
89,Dan Frawley,1986,1989,4,240,33,37,70,-28,610,26,5,2,4,32,5,0,291,11.3,,,frawlda01
90,Pierre Larouche,1975,1978,4,240,119,134,253,-18,99,88,31,0,13,103,31,0,774,15.4,,,laroupi01
91,Tyler Wright,1997,2000,4,238,17,16,33,-8,317,16,1,0,3,16,0,0,160,10.6,900,8:06,wrighty01
92,Michal Rozsíval,2000,2003,4,237,18,47,65,3,161,12,6,0,5,36,11,0,240,7.5,4603,19:25,rozsimi01
93,Ross Lonsberry,1979,1981,3,236,56,73,129,0,150,42,13,1,3,54,17,2,475,11.8,,,lonsbro01
94,Justin Schultz,2016,2020,5,234,22,91,113,43,60,17,5,0,2,52,39,0,419,5.3,4589,19:37,schulju01
95,Moe Mantha,1985,1988,4,232,37,131,168,-41,223,12,23,2,2,62,69,0,662,5.6,,,manthmo01
96,Mario Faubert,1975,1982,7,231,21,90,111,-37,222,8,13,0,3,38,48,4,397,5.3,,,faubema01
97,Dominik Simon,2016,2022,6,228,22,51,73,0,74,21,1,0,1,47,4,0,330,6.7,2820,12:22,simondo01
98,Blair Chapman,1977,1980,4,227,48,51,99,-35,71,42,6,0,5,44,7,0,436,11.0,,,chapmbl01
99,Matt Cullen,2016,2019,3,225,36,47,83,15,64,27,2,7,8,40,2,5,298,12.1,2958,13:09,cullema01
100,Kevin Hatcher,1997,1999,3,220,45,95,140,19,193,16,26,3,7,53,39,3,499,9.0,1626,24:38,hatchke01
101,Ian Cole,2015,2018,4,218,9,50,59,24,190,9,0,0,1,46,4,0,255,3.5,4010,18:24,coleia01
102,John Chabot,1985,1987,3,216,36,98,134,-45,26,30,3,3,6,78,15,5,283,12.7,,,chabojo01
103,Lew Morrison,1975,1978,4,214,13,13,26,-1,12,9,1,3,1,10,1,2,93,14.0,,,morrile01
104,Matt Niskanen,2011,2014,4,214,19,66,85,44,130,13,6,0,8,46,20,0,373,5.1,4218,19:43,niskama01
105,Zach Aston-Reese,2018,2022,5,213,29,33,62,38,93,26,0,3,2,33,0,0,325,8.9,2921,13:43,astonza01
106,Brad Werenka,1998,2000,3,213,12,41,53,47,208,9,3,0,5,32,5,4,169,7.1,2817,19:50,werenbr01
107,Grant Jennings,1991,1995,5,210,7,21,28,-1,357,4,0,3,3,21,0,0,140,5.0,,,jennigr01
108,Brandon Sutter,2013,2015,3,209,45,33,78,0,30,30,8,7,10,27,6,0,406,11.1,3451,16:31,suttebr03
109,Paul Gardner,1981,1984,4,207,98,105,203,-36,105,39,59,0,4,49,56,0,516,19.0,,,gardnpa01
110,Milan Kraft,2001,2004,4,207,41,41,82,-45,52,32,8,1,5,25,16,0,350,11.7,2779,13:26,kraftmi01
111,Paul Stanton,1991,1993,3,206,11,38,49,10,199,8,3,0,2,29,8,1,248,4.4,,,stantpa01
112,Stu Barnes,1997,1999,3,204,67,69,136,-17,66,34,32,1,11,49,18,2,483,13.9,1143,17:52,barnest01
113,Wally Boyer,1969,1972,4,203,32,62,94,-15,81,25,7,0,1,41,20,1,350,9.1,,,boyerwa01
114,Bob Paradise,1974,1979,5,203,7,33,40,-45,209,6,1,0,0,32,1,0,133,5.3,,,paradbo01
115,Paul Baxter,1981,1983,3,202,25,69,94,-71,851,15,10,0,2,47,22,0,396,6.3,,,baxtepa01
116,James Neal,2011,2014,4,199,89,95,184,25,174,51,38,0,14,59,36,0,755,11.8,3656,18:22,nealja01
117,Ville Sirén,1986,1989,4,199,11,45,56,14,158,9,2,0,0,27,17,1,206,5.3,,,sirenvi01
118,Chris Dahlquist,1986,1991,6,195,10,26,36,-8,219,10,0,0,0,24,2,0,154,6.5,,,dahlqch01
119,Carl Hagelin,2016,2019,4,195,27,56,83,38,74,26,0,1,10,52,0,4,421,6.4,3095,15:52,hagelca01
120,Jay Caufield,1989,1993,5,194,3,7,10,-13,714,3,0,0,1,7,0,0,43,7.0,,,caufija01
121,Conor Sheary,2016,2020,4,192,49,48,97,24,42,45,4,0,10,44,4,0,361,13.6,2619,13:38,shearco01
122,Zarley Zalapski,1988,1991,4,190,33,102,135,20,160,16,15,2,5,47,53,2,346,9.5,,,zalapza01
123,John Marino,2020,2022,3,189,10,54,64,23,51,8,2,0,1,43,8,3,207,4.8,3883,20:33,marinjo01
124,Dunc McCallum,1968,1971,4,185,14,35,49,-53,228,10,3,1,2,25,9,1,249,5.6,,,mccaldu01
125,Ben Lovejoy,2009,2016,7,184,9,29,38,22,101,9,0,0,0,25,1,3,256,3.5,3089,16:47,lovejbe01
126,Gary Rissling,1981,1985,5,184,20,26,46,-36,830,19,1,0,1,22,4,0,143,14.0,,,risslga01
127,Kjell Samuelsson,1992,1995,4,183,10,22,32,51,312,9,1,0,2,18,3,1,185,5.4,,,samuekj01
128,Colby Armstrong,2006,2008,3,181,37,61,98,23,175,26,8,3,8,49,9,3,315,11.7,3075,16:59,armstco01
129,Alex Goligoski,2008,2011,4,177,23,67,90,34,68,13,10,0,4,35,32,0,262,8.8,3590,20:17,goligal01
130,Dick Tärnström,2003,2006,3,174,28,75,103,-58,140,9,19,0,0,24,51,0,313,8.9,3939,22:38,tarnsdi01
131,Tomas Sandström,1994,1997,4,172,71,84,155,14,168,46,22,3,6,57,22,5,448,15.8,,,sandsto01
132,Jason Zucker,2020,2023,4,172,50,45,95,-15,85,43,7,0,8,34,11,0,402,12.4,2690,15:38,zuckeja01
133,Greg Hotham,1982,1985,4,170,11,63,74,-43,118,6,5,0,0,31,32,0,239,4.6,,,hothagr01
134,Shawn McEachern,1992,1995,4,170,53,59,112,39,78,41,8,4,8,47,11,1,385,13.8,,,mceacsh01
135,Jim Paek,1991,1994,4,170,4,26,30,8,117,4,0,0,0,24,0,2,114,3.5,,,paekji01
