--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
95,Brad Hunt,2019,2021,3,100,12,13,25,-20,16,6,6,0,1,5,8,0,167,7.2,1469,14:42,huntbr01
96,Jacob Middleton,2022,2023,2,100,4,16,20,22,85,4,0,0,0,15,0,1,101,4.0,1880,18:48,middlja01
97,Nick Seeler,2018,2020,3,99,2,9,11,0,93,2,0,0,1,9,0,0,88,2.3,1257,12:42,seeleni01
98,Darroll Powe,2012,2013,2,90,6,7,13,-19,66,6,0,0,1,7,0,0,114,5.3,1228,13:39,poweda01
99,Colton Gillies,2009,2012,3,89,3,7,10,-9,30,3,0,0,1,6,1,0,49,6.1,782,8:47,gillico01
100,Jordan Schroeder,2015,2017,3,88,11,14,25,16,4,11,0,0,0,14,0,0,115,9.6,878,9:59,schrojo01
101,Andy Sutton,2001,2002,2,88,5,8,13,-15,166,2,3,0,0,7,1,0,85,5.9,1099,12:29,suttoan01
102,Sylvain Blouin,2001,2003,3,86,3,4,7,-16,251,3,0,0,0,4,0,0,66,4.5,845,9:50,blouisy01
103,Ryan Donato,2019,2020,2,84,18,21,39,1,16,18,0,0,2,14,7,0,159,11.3,1001,11:55,donatry01
104,Mike Reilly,2016,2018,3,84,4,14,18,-9,28,4,0,0,0,8,6,0,82,4.9,1030,12:16,reillmi01
105,Guillaume Latendresse,2010,2012,3,82,33,19,52,9,40,24,9,0,6,17,2,0,187,17.6,1288,15:43,latengu01
106,Eric Nystrom,2011,2011,1,82,4,8,12,-16,30,3,1,0,0,8,0,0,83,4.8,1091,13:19,nystrer01
107,Daniel Winnik,2018,2018,1,81,6,17,23,5,27,6,0,0,0,16,1,0,82,7.3,1099,13:34,winnida01
108,Calen Addison,2021,2023,3,80,5,28,33,-21,24,5,0,0,1,10,18,0,98,5.1,1262,15:46,addisca01
109,Dmitry Kulikov,2022,2022,1,80,7,17,24,23,39,7,0,0,2,17,0,0,74,9.5,1456,18:12,kulikdm01
110,Cliff Ronning,2003,2003,1,80,17,31,48,-6,24,9,8,0,5,16,14,1,171,9.9,1394,17:25,ronnicl01
111,Petteri Nummelin,2007,2008,2,78,5,24,29,-17,24,4,1,0,1,6,18,0,100,5.0,1449,18:34,nummepe01
112,Nick Johnson,2012,2012,1,77,8,18,26,-6,45,8,0,0,1,17,1,0,146,5.5,1113,14:27,johnsni01
