--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
118,Darryl Sydor,2004,2006,2,111,5,25,30,-15,36,4,1,0,0,17,8,0,106,4.7,2120,19:06,sydorda01
119,Stéphane Richer,1998,2000,3,110,28,37,65,-15,62,19,7,2,3,27,6,4,257,10.9,1365,16:15,richest02
120,Andrei Zyuzin,2000,2002,3,107,6,27,33,-25,115,3,2,1,1,20,7,0,153,3.9,2066,19:19,zyuzian01
121,Denis Savard*,1994,1995,2,105,24,39,63,-7,116,20,3,1,3,23,16,0,237,10.1,,,savarde01
122,Mark Barberio,2013,2015,3,103,6,11,17,4,44,5,1,0,0,11,0,0,108,5.6,1618,15:42,barbema01
123,Brandon Hagel,2022,2023,2,103,34,37,71,19,62,25,7,2,3,28,6,3,209,16.3,1809,17:34,hagelbr01
124,Zach Bogosian,2020,2023,3,102,4,11,15,-2,107,4,0,0,1,10,0,1,125,3.2,1556,15:15,bogosza01
125,Paul Mara,1999,2001,3,101,14,22,36,-47,113,7,7,0,2,15,7,0,137,10.2,2282,22:36,marapa01
126,Nick Paul,2022,2023,2,101,22,24,46,15,50,16,4,2,5,23,0,1,155,14.2,1589,15:44,paulni01
127,B.J. Crombeen,2013,2014,2,99,4,14,18,2,191,4,0,0,1,13,0,1,110,3.6,1047,10:34,crombbj01
128,Drew Bannister,1996,1999,3,98,5,16,21,-26,72,4,1,0,0,8,8,0,96,5.2,332,15:49,bannidr01
129,Jason Ward,2007,2009,3,97,12,10,22,-29,54,10,1,1,0,8,1,1,124,9.7,1283,13:14,wardja01
130,Shane O'Brien,2007,2009,3,96,4,19,23,-11,190,4,0,0,1,17,1,1,86,4.7,1974,20:34,obriesh01
131,Ryan Johnson,2000,2001,2,94,7,16,23,-29,46,6,1,0,0,16,0,0,76,9.2,1417,15:04,johnsry01
132,Lukáš Krajíček,2009,2010,2,94,2,18,20,-12,69,2,0,0,0,15,2,1,83,2.4,1796,19:06,krajilu01
133,J.T. Miller,2018,2019,2,94,23,42,65,5,42,14,9,0,5,25,17,0,153,15.0,1445,15:23,millejt01
134,Mike Johnson,2000,2001,2,92,21,39,60,-12,42,13,7,1,0,23,15,1,150,14.0,1742,18:56,johnsmi01
135,Aaron Gavey,1996,1997,2,89,9,6,15,-7,68,7,1,1,2,4,2,0,73,12.3,,,gaveyaa01
136,Mikael Renberg,1998,1999,2,88,20,30,50,-39,38,9,8,3,0,20,10,0,217,9.2,311,15:32,renbemi01
137,Cory Conacher,2013,2020,5,87,18,23,41,-5,50,15,3,0,4,20,3,0,120,15.0,1043,11:59,conacco01
138,Brian Bellows,1996,1997,2,86,24,28,52,-18,39,11,13,0,4,14,14,0,207,11.6,,,bellobr01
139,Éric Perrin,2004,2007,2,86,13,23,36,-8,30,10,2,1,0,16,5,2,154,8.4,1429,16:37,perrier01
140,Slater Koekkoek,2015,2019,5,85,5,9,14,-1,34,5,0,0,1,9,0,0,102,4.9,1042,12:15,koekksl01
141,Jake Dotchin,2017,2018,2,83,3,19,22,27,73,3,0,0,0,18,0,1,98,3.1,1436,17:18,dotchja01
142,Paul Szczechura,2009,2010,2,83,9,7,16,-16,30,7,2,0,1,6,0,1,134,6.7,1101,13:16,szczepa01
143,Chris Kunitz,2018,2018,1,82,13,16,29,8,35,12,0,1,2,15,1,0,81,16.0,980,11:57,kunitch01
144,Zenon Konopka,2009,2010,2,81,2,4,6,-12,294,2,0,0,1,3,1,0,47,4.3,651,8:02,konopze01
145,Sandy McCarthy,1998,1999,2,81,5,12,17,-23,206,4,1,0,0,11,1,0,115,4.3,739,11:02,mccarsa01
146,Cory Stillman,2004,2004,1,81,25,55,80,18,36,13,11,1,6,40,15,0,178,14.0,1582,19:32,stillco01
147,Bob Beers,1993,1994,2,80,13,29,42,-36,82,5,8,0,0,8,20,1,173,7.5,,,beersbo01
148,Sean Bergenheim,2011,2011,1,80,14,15,29,0,56,12,2,0,1,13,2,0,182,7.7,1118,13:59,bergese01
149,Alex Tanguay,2010,2010,1,80,10,27,37,-2,32,7,3,0,2,23,4,0,91,11.0,1263,15:47,tangual01
150,Keith Aulie,2012,2014,3,79,2,7,9,-7,82,2,0,0,0,7,0,0,47,4.3,934,11:49,aulieke01
151,Marc-André Bergeron,2011,2013,3,78,7,30,37,-1,32,6,1,0,1,17,13,0,139,5.0,1310,16:48,bergema02
152,Tim Bergland,1993,1994,2,78,9,8,17,-19,17,9,0,0,0,8,0,0,105,8.6,,,berglti01
153,Ian Cole,2023,2023,1,78,3,14,17,13,61,3,0,0,0,14,0,0,109,2.8,1512,19:23,coleia01
154,Gordie Dwyer,2000,2002,3,78,0,4,4,-17,291,0,0,0,0,4,0,0,25,0.0,413,5:17,dwyergo01
155,Blair Jones,2007,2012,5,78,4,6,10,-10,24,4,0,0,0,6,0,0,74,5.4,633,8:07,jonesbl01
156,Steve Martins,2000,2001,2,77,6,8,14,-20,50,5,0,1,1,6,0,2,80,7.5,958,12:27,martist02
157,Stéphane Veilleux,2010,2010,1,77,3,6,9,-14,48,3,0,0,0,6,0,0,94,3.2,946,12:17,veillst01
158,Richard Pánik,2013,2014,2,75,8,14,22,-11,25,7,1,0,1,9,5,0,90,8.9,918,12:14,panikri01
159,David Wilkie,1998,1999,2,75,2,12,14,-40,86,2,0,0,0,6,6,0,81,2.5,566,12:18,wilkida01
160,Alexander Svitov,2003,2004,2,74,4,7,11,-4,62,3,1,0,0,7,0,0,85,4.7,659,8:54,svitoal01
161,Mathieu Darche,2008,2008,1,73,7,15,22,-14,20,5,1,1,0,14,1,0,120,5.8,1053,14:26,darchma01
162,Nils Ekman,2000,2001,2,71,11,13,24,-23,76,7,3,1,1,8,5,0,114,9.6,991,13:57,ekmanni01
163,Kurtis Foster,2010,2010,1,71,8,34,42,-5,48,5,3,0,1,11,23,0,165,4.8,1220,17:11,fosteku01
164,Róbert Petrovický,1999,2000,2,71,10,14,24,-6,20,9,1,0,0,12,2,0,82,12.2,729,10:16,petroro01
165,Brenden Morrow,2015,2015,1,70,3,5,8,-1,64,3,0,0,0,5,0,0,28,10.7,653,9:20,morrobr01
166,Kevin Shattenkirk,2020,2020,1,70,8,26,34,22,38,7,1,0,0,20,6,0,131,6.1,1323,18:54,shattke01
167,Nicklaus Perbix,2023,2023,1,69,5,15,20,11,22,5,0,0,2,15,0,0,111,4.5,1062,15:24,perbini01
168,Erik Condra,2016,2017,2,67,6,5,11,-8,38,6,0,0,0,5,0,0,66,9.1,703,10:30,condrer01
169,Grant Ledyard,2001,2002,2,67,3,5,8,-10,24,3,0,0,0,2,3,0,39,7.7,1029,15:22,ledyagr01
170,Jussi Jokinen,2008,2009,2,66,8,22,30,-24,20,5,3,0,0,13,9,0,102,7.8,1098,16:38,jokinju01
171,Chris Joseph,1994,1994,1,66,10,19,29,-13,108,3,7,0,0,10,9,0,154,6.5,,,josepch01
172,Alexander Kharitonov,2001,2001,1,66,7,15,22,-9,8,7,0,0,0,10,5,0,103,6.8,770,11:40,kharial01
173,Chris Kontos,1993,1993,1,66,27,24,51,-7,12,14,12,1,3,16,8,0,136,19.9,,,kontoch01
174,Rob Ramage,1993,1993,1,66,5,12,17,-21,138,0,5,0,0,4,8,0,115,4.3,,,ramagro01
175,Matt Walker,2010,2010,1,66,2,3,5,-11,90,2,0,0,0,3,0,0,54,3.7,1066,16:09,walkema01
176,Luke Witkowski,2015,2020,4,66,1,6,7,-5,71,1,0,0,0,6,0,0,45,2.2,713,10:48,witkolu01
177,Wendel Clark,1999,1999,1,65,28,14,42,-25,35,17,11,0,2,10,4,0,171,16.4,1016,15:38,clarkwe01
178,Craig MacDonald,2008,2008,1,65,2,9,11,-10,16,2,0,0,0,9,0,0,84,2.4,707,10:52,macdocr01
179,Juha Ylönen,2002,2002,1,65,3,10,13,-10,8,3,0,0,0,10,0,0,75,4.0,1023,15:45,yloneju01
180,Blake Coleman,2020,2021,2,64,14,18,32,17,53,12,1,1,3,18,0,0,140,10.0,983,15:21,colembl01
181,Chris Lipuma,1993,1996,4,64,0,9,9,-3,124,0,0,0,0,9,0,0,46,0.0,,,lipumch01
182,Mike McBain,1998,1999,2,64,0,7,7,-21,22,0,0,0,0,7,0,0,39,0.0,548,14:49,mcbaimi01
183,Michel Ouellet,2008,2008,1,64,17,19,36,11,12,12,5,0,0,13,6,0,132,12.9,872,13:38,ouellmi01
184,Wayne Primeau,2000,2001,2,64,4,16,20,-21,102,4,0,0,0,13,2,1,82,4.9,911,14:14,primewa01
185,Éric Charron,1994,1996,3,63,1,4,5,-5,46,1,0,0,0,2,1,1,45,2.2,,,charrer01
186,Pat Elynuik,1994,1994,1,63,12,14,26,-18,64,8,3,1,1,11,3,0,103,11.7,,,elynupa01
187,Simon Gagné,2011,2011,1,63,17,23,40,-12,20,10,7,0,3,15,8,0,154,11.0,1064,16:53,gagnesi01
188,Barclay Goodrow,2020,2021,2,63,6,16,22,16,69,6,0,0,1,16,0,0,80,7.5,931,14:47,goodrba01
189,Steve Maltais,1993,1993,1,63,7,13,20,-20,35,3,4,0,1,8,5,0,96,7.3,,,maltast01
190,Luke Schenn,2020,2021,2,63,3,4,7,-6,74,3,0,0,0,4,0,0,74,4.1,720,11:26,schenlu01
191,Jan Hlaváč,2008,2008,1,62,9,13,22,-10,32,9,0,0,0,12,1,0,123,7.3,915,14:46,hlavaja01
192,Benoît Hogue,1999,1999,1,62,11,14,25,-12,50,9,2,0,3,8,3,3,101,10.9,1016,16:23,hoguebe01
193,Brantt Myhres,1995,1997,2,62,5,1,6,-1,217,5,0,0,2,1,0,0,17,29.4,,,myhrebr01
194,Mark Recchi*,2009,2009,1,62,13,32,45,-15,20,11,2,0,1,14,18,0,97,13.4,1047,16:53,recchma01
195,Randy Jones,2011,2011,1,61,1,12,13,-4,15,1,0,0,0,12,0,0,52,1.9,1041,17:03,jonesra01
196,Peter Taglianetti,1993,1993,1,61,1,8,9,8,150,1,0,0,0,8,0,0,60,1.7,,,taglipe01
197,Yves Racine,1998,1998,1,60,0,8,8,-23,41,0,0,0,0,3,5,0,76,0.0,,,racinyv01
198,Matt Pettinger,2009,2009,1,59,8,7,15,-14,24,6,2,0,1,7,0,0,82,9.8,727,12:19,pettima01
199,Matthew Barnaby,2001,2002,2,58,4,4,8,-10,167,3,1,0,0,2,2,0,42,9.5,593,10:14,barnama01
200,Jason Bonsignore,1998,1999,2,58,2,11,13,-15,30,2,0,0,0,10,1,0,41,4.9,171,7:25,bonsija01
