--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
58,Evander Kane,2018,2021,4,212,87,79,166,-12,342,59,22,6,9,62,14,3,758,11.5,4107,19:22,kaneev01
59,Sandis Ozoliņš,1993,2008,5,212,46,86,132,-8,122,33,12,1,5,51,34,1,383,12.0,662,16:59,ozolisa01
60,Radim Šimek,2019,2023,5,209,7,22,29,-41,74,7,0,0,1,22,0,0,171,4.1,3139,15:01,simekra01
61,Joel Ward,2016,2018,3,209,36,48,84,-19,78,27,6,3,7,38,9,1,283,12.7,3202,15:19,wardjo02
62,Jamie McGinn,2009,2012,4,204,27,22,49,-14,99,23,4,0,3,21,1,0,270,10.0,2235,10:57,mcginja01
63,Ray Whitney,1992,1997,6,200,48,73,121,-49,52,36,10,2,3,48,24,1,307,15.6,,,whitnra01
64,Rob Zettler,1992,1994,3,196,1,18,19,-80,314,1,0,0,0,13,1,4,160,0.6,,,zettlro01
65,Jamie Baker,1994,1999,4,186,35,27,62,-23,139,26,2,7,2,25,0,2,246,14.2,,,bakerja01
66,Johan Garpenlöv,1992,1995,4,184,46,86,132,-22,90,24,22,0,5,64,21,1,333,13.8,,,garpejo01
67,Shean Donovan,1995,1998,4,181,25,17,42,-38,109,23,0,2,2,17,0,0,225,11.1,,,donovsh01
68,Patrick Rissmiller,2004,2008,4,180,18,27,45,-6,60,16,2,0,3,24,2,1,247,7.3,2198,12:13,rissmpa01
69,Noah Gregor,2020,2023,4,178,26,25,51,-51,71,25,1,0,2,20,4,1,368,7.1,2314,13:00,gregono01
70,Rob Davison,2003,2008,5,176,2,12,14,2,238,2,0,0,0,12,0,0,108,1.9,2335,13:16,davisro01
71,Teemu Selänne*,2001,2003,3,176,64,67,131,-16,70,45,18,1,15,36,30,1,486,13.2,3187,18:07,selante01
72,Viktor Kozlov,1995,1998,4,174,29,40,69,-38,50,22,7,0,4,28,12,0,365,7.9,,,kozlovi01
73,Alyn McCauley,2003,2006,3,174,35,48,83,18,62,21,12,2,7,37,7,4,280,12.5,2743,15:46,mccaual01
74,Paul Martin,2016,2018,3,173,7,41,48,26,44,6,1,0,1,40,1,0,112,6.3,3381,19:33,martipa01
75,Mike Sullivan,1992,1994,3,171,16,21,37,-63,49,11,1,4,2,15,2,4,188,8.5,,,sullimi01
76,Andrei Nazarov,1994,1998,5,169,23,28,51,-24,490,20,3,0,2,23,5,0,221,10.4,,,nazaran01
77,Doug Bodger,1996,1998,3,166,9,40,49,-32,146,6,3,0,2,18,21,1,231,3.9,,,bodgedo01
78,Adam Graves,2002,2003,2,163,26,23,49,-3,83,21,2,3,1,21,1,1,257,10.1,2349,14:25,gravead01
79,Dany Heatley,2010,2011,2,162,65,81,146,22,110,34,29,2,14,49,31,1,497,13.1,3231,19:57,heatlda01
80,Ulf Dahlén,1994,1997,4,161,41,52,93,-34,46,25,15,1,9,33,19,0,309,13.3,,,dahleul01
81,Steve Bernier,2006,2008,3,160,42,39,81,7,126,29,12,1,5,22,17,0,275,15.3,2167,13:33,bernist01
82,Nils Ekman,2004,2006,2,159,43,69,112,50,88,33,6,4,7,46,22,1,323,13.3,2392,15:03,ekmanni01
