--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
69,Red Hamill,1942,1951,8,370,112,80,192,,150,90,19,3,14,60,19,1,,,,,hamilre02
70,Steve Sullivan,2000,2004,5,370,118,185,303,54,251,86,19,13,24,134,45,6,858,13.8,7250,19:36,sullist01
71,Alex DeBrincat,2018,2022,5,368,160,147,307,-14,67,107,52,1,21,101,46,0,1033,15.5,6668,18:07,debrial01
72,George Gee,1946,1954,7,365,94,130,224,,257,76,15,3,9,111,17,2,,,,,geege01
73,Paul Thompson,1932,1939,8,365,118,146,264,,196,71,25,1,22,79,31,2,,,,,thomppa01
74,Andrew Shaw,2012,2021,7,362,75,76,151,11,339,56,19,0,10,60,16,0,657,11.4,5451,15:04,shawan01
75,Cam Russell,1990,1999,10,361,8,19,27,13,788,8,0,0,1,19,0,0,187,4.3,42,5:58,russeca01
76,Kyle Calder,2000,2006,6,359,85,125,210,-27,184,54,29,2,13,102,23,0,692,12.3,5922,16:30,caldeky01
77,Tim Higgins,1979,1984,6,358,79,106,185,1,335,70,9,0,7,88,18,0,529,14.9,,,higgiti01
78,Eric Weinrich,1994,1999,6,356,21,92,113,37,309,18,3,0,4,59,31,2,455,4.6,283,20:12,weinrer01
79,Wayne Presley,1985,1991,7,355,93,93,186,-43,495,73,17,3,13,66,27,0,660,14.1,,,preslwa01
80,Bill Gardner,1981,1989,8,354,72,106,178,4,64,51,13,8,7,82,17,7,439,16.4,,,gardnbi01
81,Ted Bulley,1977,1982,6,349,94,102,196,23,645,81,13,0,18,85,17,0,575,16.3,,,bullete01
82,Jack Evans,1959,1963,5,346,4,42,46,13,319,2,0,2,0,39,2,1,194,1.5,,,evansja01
83,Glen Skov,1956,1960,5,346,44,75,119,-5,150,35,6,3,5,61,11,3,75,4.0,,,skovgl01
84,Cully Dahlstrom,1938,1945,8,345,88,118,206,,58,75,12,1,15,103,15,0,,,,,dahlscu01
85,Dick Redmond,1973,1977,5,341,71,156,227,-4,218,43,28,0,9,83,70,3,1075,6.6,,,redmodi01
86,Mark Bell,2001,2006,5,339,72,79,151,-34,454,55,14,3,3,57,22,0,690,10.4,5211,15:22,bellma01
87,Greg Fox,1979,1984,6,339,9,68,77,-15,450,9,0,0,1,63,3,2,301,3.0,,,foxgr01
88,Steve Thomas,1988,2003,7,334,110,120,230,1,423,79,31,0,15,95,24,1,812,13.5,1470,14:16,thomast01
89,Dave Bolland,2007,2013,7,332,70,98,168,33,211,50,15,5,8,77,18,3,487,14.4,5458,16:26,bollada01
90,Jocelyn Lemieux,1990,1994,5,331,44,57,101,1,420,40,3,1,6,49,6,2,516,8.5,,,lemiejo01
91,Brian Noonan,1988,1994,7,329,63,85,148,-16,300,41,22,0,8,56,29,0,613,10.3,,,noonabr01
92,Tom Cook,1930,1937,8,327,74,94,168,,180,16,5,0,18,31,6,0,,,2,,cookto01
93,Dale Tallon,1974,1978,5,325,44,112,156,-13,296,29,13,2,10,77,32,3,504,8.7,,,talloda01
94,Al Dewsbury,1951,1956,6,323,26,75,101,,351,19,5,2,1,41,33,1,,,,,dewsbal01
95,Eddie Olczyk,1985,2000,5,322,77,132,209,0,274,60,13,4,7,106,23,3,654,11.8,1206,12:50,olczyed01
96,Rosie Couture,1929,1935,7,319,48,54,102,,185,11,1,0,9,13,3,0,,,,,couturo01
97,Steve Smith,1992,1997,6,317,25,111,136,52,920,13,11,1,4,50,59,2,521,4.8,,,smithst05
98,Jeff Shantz,1994,1999,6,312,36,80,116,19,155,27,2,7,3,66,9,5,346,10.4,107,15:14,shantje01
99,Doc Romnes,1931,1939,9,309,60,120,180,,40,39,5,0,9,71,31,0,,,,,romnedo01
100,Lee Fogolin,1951,1956,6,304,5,36,41,,432,5,0,0,1,33,2,1,,,,,fogolle01
101,Curt Fraser,1983,1988,6,303,94,120,214,21,537,78,16,0,11,102,18,0,599,15.7,,,frasecu01
102,Jack O'Callahan,1983,1987,5,303,15,64,79,21,393,14,1,0,2,59,2,3,355,4.2,,,ocallja01
103,Gary Suter,1994,1998,5,301,53,126,179,5,284,22,27,4,4,42,80,4,845,6.3,,,suterga01
104,Brian Campbell,2009,2017,4,295,24,110,134,63,70,13,11,0,5,74,35,1,397,6.0,6398,21:41,campbbr02
105,Kris Versteeg,2008,2015,5,294,68,96,164,42,158,48,13,7,9,67,25,4,588,11.6,4633,15:46,verstkr01
106,Artem Anisimov,2016,2019,4,291,77,78,155,-2,78,51,21,5,15,64,13,1,498,15.5,5019,17:15,anisiar01
107,Murray Balfour,1960,1964,5,286,66,87,153,15,357,56,10,0,7,79,8,0,545,12.1,,,balfomu01
108,Bob McGill,1988,1991,4,281,10,26,36,-9,641,9,0,1,1,24,0,2,216,4.6,,,mcgilbo01
109,Trent Yawney,1988,1999,6,280,16,55,71,-15,398,6,9,1,1,25,30,0,241,6.6,269,13:28,yawnetr01
110,Michel Goulet*,1990,1994,5,276,92,115,207,59,212,59,32,1,16,78,36,1,598,15.4,,,goulemi01
111,Greg Gilbert,1989,1993,5,273,42,64,106,35,204,40,1,1,6,60,4,0,325,12.9,,,gilbegr01
112,Erik Gustafsson,2016,2022,5,273,31,103,134,-6,83,25,6,0,3,74,29,0,466,6.7,5243,19:12,gustaer02
113,George Allen,1940,1946,6,272,69,95,164,,159,57,12,0,12,79,16,0,,,,,allenge01
114,Keith Carney,1994,1998,5,271,14,47,61,64,275,12,1,1,3,39,5,3,244,5.7,,,carneke01
115,Dollard St. Laurent,1959,1962,4,270,10,51,61,15,190,6,3,1,1,46,3,2,283,2.1,,,stlaudo01
116,Marc Bergevin,1985,1989,5,266,12,29,41,-25,283,12,0,0,1,27,1,1,206,5.8,,,bergema01
117,Joe Cooper,1939,1946,7,266,25,54,79,,316,20,5,0,3,39,14,1,,,,,coopejo01
118,Ab McDonald,1961,1964,4,265,73,107,180,70,59,53,19,1,13,78,29,0,662,11.0,,,mcdonab01
119,Roy Conacher*,1948,1952,5,264,102,125,227,,42,88,14,0,17,91,34,0,,,,,conacro01
120,Ryan VandenBussche,1998,2004,7,263,7,10,17,-31,592,5,2,0,0,9,1,0,100,7.0,1713,6:37,vandery01
121,Bep Guidolin,1949,1952,4,262,46,91,137,,292,41,3,2,3,77,13,1,,,,,guidobe01
122,Behn Wilson,1984,1988,4,262,39,106,145,-26,607,21,18,0,8,73,31,2,487,8.0,,,wilsobe02
123,Reggie Fleming,1961,1964,4,261,21,26,47,9,453,18,0,3,7,22,1,3,289,7.3,,,flemire01
124,Dustin Byfuglien,2006,2010,5,260,55,54,109,-15,268,39,16,0,12,33,21,0,639,8.6,4221,16:14,byfugdu01
