--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
362,Brent Ashton,1993,1993,1,32,8,11,19,11,41,6,0,2,1,11,0,0,58,13.8,,,ashtobr01
363,Brian Engblom,1987,1987,1,32,0,4,4,-6,28,0,0,0,0,4,0,0,31,0.0,,,engblbr01
364,Claude Lapointe,1996,1996,1,32,4,5,9,2,20,2,0,2,1,5,0,0,44,9.1,,,lapoicl01
365,Paul Fenton,1991,1991,1,31,5,7,12,2,10,4,0,1,1,7,0,0,59,8.5,,,fentopa01
366,Gene Carr,1979,1979,1,30,3,8,11,-4,6,3,0,0,0,6,2,0,35,8.6,,,carrge01
367,Paul Henderson,1980,1980,1,30,7,6,13,5,6,6,1,0,1,5,1,0,29,24.1,,,hendepa01
368,Tony Stiles,1984,1984,1,30,2,7,9,14,20,2,0,0,0,6,0,1,19,10.5,,,stileto01
369,Tyler Wotherspoon,2014,2017,4,30,0,5,5,-8,4,0,0,0,0,5,0,0,17,0.0,408,13:36,wothety01
370,Norm Gratton,1973,1973,1,29,3,6,9,1,12,2,1,0,0,3,3,0,26,11.5,,,grattno01
371,Dale DeGray,1986,1987,2,28,6,7,13,-4,29,6,0,0,1,6,1,0,58,10.3,,,degrada01
372,Walker Duehr,2022,2023,2,28,7,4,11,0,4,7,0,0,2,4,0,0,47,14.9,284,10:09,duehrwa01
373,Jukka Hentunen,2002,2002,1,28,2,3,5,-9,4,1,1,0,0,3,0,0,38,5.3,312,11:09,hentuju01
374,Andreas Johansson,2000,2000,1,28,3,7,10,-3,14,2,1,0,0,6,1,0,47,6.4,379,13:33,johanan01
375,Doug Mohns,1974,1974,1,28,0,3,3,-7,10,0,0,0,0,3,0,0,25,0.0,,,mohnsdo01
376,Greg Paslawski,1993,1994,2,28,6,5,11,-1,2,6,0,0,2,4,1,0,32,18.8,,,paslagr01
377,C.J. Young,1993,1993,1,28,3,2,5,-7,20,2,1,0,0,2,0,0,21,14.3,,,youngcj01
378,Rico Fata,1999,2001,3,27,0,1,1,-4,10,0,0,0,0,1,0,0,19,0.0,219,8:07,fatari01
379,Jamal Mayers,2010,2010,1,27,1,5,6,2,53,1,0,0,1,5,0,0,28,3.6,248,9:11,mayerja01
380,Jakub Nakládal,2016,2016,1,27,2,3,5,-5,6,2,0,0,0,2,1,0,42,4.8,383,14:11,naklaja01
381,Brad Richardson,2022,2022,1,27,2,2,4,-2,27,2,0,0,0,2,0,0,19,10.5,268,9:56,richabr02
382,Ken Sabourin,1989,1991,3,27,1,4,5,13,72,1,0,0,0,4,0,0,14,7.1,,,sabouke01
383,Darryl Shannon,2000,2000,1,27,1,8,9,-13,22,1,0,0,0,4,4,0,46,2.2,636,23:33,shannda01
384,Brad Stuart,2007,2007,1,27,0,5,5,12,18,0,0,0,0,5,0,0,35,0.0,616,22:48,stuarbr02
385,Marty Murray,1996,2001,4,26,3,3,6,-5,6,1,2,0,0,1,2,0,32,9.4,101,14:28,murrama01
386,Brad Schlegel,1994,1994,1,26,1,6,7,-4,4,1,0,0,0,5,1,0,24,4.2,,,schlebr01
387,Keith Hanson,1984,1984,1,25,0,2,2,-14,77,0,0,0,0,0,0,2,19,0.0,,,hansoke01
388,Craig MacDonald,2006,2006,1,25,3,2,5,5,8,2,1,0,0,2,0,0,27,11.1,257,10:16,macdocr01
389,Tyler Pitlick,2022,2022,1,25,0,2,2,-5,2,0,0,0,0,2,0,0,19,0.0,292,11:41,pitlity01
390,Benoît Gratton,2000,2001,2,24,1,5,6,1,24,1,0,0,0,5,0,0,17,5.9,211,8:48,grattbe01
391,Terry Johnson,1986,1986,1,24,1,4,5,-2,71,1,0,0,0,3,1,0,11,9.1,,,johnste01
392,Jakob Pelletier,2023,2023,1,24,3,4,7,-5,2,1,2,0,1,3,1,0,48,6.3,340,14:11,pelleja01
393,Dennis Gilbert,2023,2023,1,23,1,3,4,0,27,1,0,0,1,3,0,0,13,7.7,270,11:44,gilbede01
394,Ron Harris,1973,1973,1,23,2,4,6,-5,8,1,1,0,0,4,0,0,36,5.6,,,harriro01
395,Mike Peluso,1998,1998,1,23,0,0,0,-6,113,0,0,0,0,0,0,0,8,0.0,,,pelusmi01
396,Max Reinhart,2013,2015,3,23,1,4,5,-5,6,1,0,0,0,3,1,0,36,2.8,277,12:01,reinhma01
397,Zac Rinaldo,2020,2021,2,23,3,2,5,-2,39,3,0,0,2,2,0,0,20,15.0,180,7:51,rinalza01
398,Vesa Viitakoski,1994,1996,3,23,2,4,6,-2,8,0,2,0,0,2,2,0,28,7.1,,,viitave01
399,Jonas Bergqvist,1990,1990,1,22,2,5,7,10,10,2,0,0,0,5,0,0,30,6.7,,,bergqjo01
400,Jaromír Jágr,2018,2018,1,22,1,6,7,6,10,1,0,0,0,5,1,0,32,3.1,287,13:03,jagrja01
401,Aaron Johnson,2010,2010,1,22,1,2,3,0,19,1,0,0,0,2,0,0,13,7.7,268,12:11,johnsaa01
402,Alan Quine,2019,2020,2,22,4,2,6,-1,10,3,1,0,0,2,0,0,23,17.4,212,9:37,quineal01
403,Ron Sutter,2001,2001,1,21,1,3,4,4,12,1,0,0,0,3,0,0,16,6.3,248,11:49,suttero01
404,Dallas Eakins,2001,2002,2,20,0,1,1,0,15,0,0,0,0,1,0,0,4,0.0,252,12:37,eakinda01
405,Bobby Gould,1980,1982,3,20,3,0,3,-3,4,3,0,0,1,0,0,0,24,12.5,,,gouldbo01
406,Todd Harkins,1992,1993,2,20,2,3,5,-6,29,2,0,0,0,3,0,0,21,9.5,,,harkito01
407,Jocelyn Lemieux,1996,1996,1,20,4,4,8,-1,10,4,0,0,0,4,0,0,27,14.8,,,lemiejo01
408,Dalton Prout,2019,2019,1,20,1,1,2,1,8,1,0,0,0,1,0,0,14,7.1,262,13:07,proutda01
409,Richie Regehr,2006,2007,2,20,1,3,4,-1,6,0,1,0,0,2,1,0,16,6.3,211,10:34,regehri01
410,Troy Stecher,2023,2023,1,20,3,4,7,-3,15,3,0,0,1,4,0,0,26,11.5,290,14:30,stechtr01
411,Gord Wappel,1980,1982,3,20,1,1,2,-3,10,1,0,0,0,1,0,0,12,8.3,,,wappego01
412,Travis Brigley,1998,2000,2,19,0,2,2,-6,6,0,0,0,0,1,0,1,18,0.0,242,14:14,brigltr01
413,Marc Bureau,1990,2000,3,19,1,3,4,-8,8,1,0,0,0,3,0,0,12,8.3,128,14:13,bureama01
414,Sasha Lakovic,1997,1997,1,19,0,1,1,-1,54,0,0,0,0,1,0,0,10,0.0,,,lakovsa01
415,Connor Mackey,2021,2023,3,19,3,4,7,-4,31,3,0,0,0,4,0,0,16,18.8,229,12:02,mackeco01
416,Brendan Mikkelson,2011,2011,1,19,0,1,1,-5,2,0,0,0,0,1,0,0,10,0.0,244,12:52,mikkebr01
417,Ville Nieminen,2004,2004,1,19,3,5,8,6,18,3,0,0,1,4,1,0,27,11.1,277,14:36,niemivi01
418,David Schlemko,2015,2015,1,19,0,0,0,6,8,0,0,0,0,0,0,0,15,0.0,240,12:39,schleda01
419,Ben Street,2013,2014,2,19,0,2,2,-3,4,0,0,0,0,1,0,1,30,0.0,219,11:33,streebe01
420,Daniel Tkaczuk,2001,2001,1,19,4,7,11,1,14,3,1,0,0,6,1,0,34,11.8,233,12:14,tkaczda01
421,Mickey Volcan,1984,1984,1,19,1,4,5,-1,18,1,0,0,1,4,0,0,13,7.7,,,volcami01
422,Brett Carson,2011,2013,3,18,0,1,1,-1,0,0,0,0,0,1,0,0,13,0.0,209,11:35,carsobr01
423,Mike Commodore,2003,2004,2,18,0,1,1,-2,44,0,0,0,0,1,0,0,15,0.0,253,14:03,commomi01
424,Yves Courteau,1985,1986,2,18,2,5,7,2,4,2,0,0,1,5,0,0,25,8.0,,,courtyv01
425,Micki DuPont,2002,2003,2,18,1,2,3,-5,6,1,0,0,0,0,2,0,29,3.4,297,16:31,duponmi01
426,Greg Pankewicz,1999,1999,1,18,0,3,3,0,20,0,0,0,0,3,0,0,10,0.0,134,7:26,pankegr01
427,Brett Sutter,2009,2011,3,18,1,1,2,-4,12,1,0,0,0,0,0,1,18,5.6,169,9:25,suttebr04
428,Dean Talafous,1975,1975,1,18,1,4,5,-7,13,1,0,0,0,4,0,0,22,4.5,,,talafde01
429,Earl Ingarfield,1980,1981,2,17,2,3,5,0,6,2,0,0,0,3,0,0,26,7.7,,,ingarea02
430,Calle Järnkrok,2022,2022,1,17,0,4,4,1,4,0,0,0,0,3,1,0,19,0.0,235,13:50,jarnkca01
431,Kevin Rooney,2023,2023,1,17,0,1,1,-2,7,0,0,0,0,1,0,0,14,0.0,151,8:52,rooneke01
432,Tanner Glass,2018,2018,1,16,0,0,0,-4,19,0,0,0,0,0,0,0,14,0.0,150,9:23,glassta01
433,Ben Hanowski,2013,2014,2,16,1,2,3,-2,2,1,0,0,0,2,0,0,14,7.1,146,9:08,hanowbe01
434,Stefan Meyer,2011,2011,1,16,0,2,2,0,17,0,0,0,0,2,0,0,12,0.0,124,7:45,meyerst01
435,Lee Norwood,1994,1994,1,16,0,1,1,3,16,0,0,0,0,1,0,0,10,0.0,,,norwole01
436,Warren Peters,2009,2009,1,16,1,0,1,-2,12,1,0,0,0,0,0,0,13,7.7,113,7:05,peterwa01
437,Nick Ritchie,2023,2023,1,16,4,1,5,-6,10,4,0,0,0,1,0,0,33,12.1,214,13:23,ritchni01
438,Brian Skrudland,1993,1993,1,16,2,4,6,3,10,2,0,0,0,3,0,1,22,9.1,,,skrudbr01
439,Oscar Fantenberg,2019,2019,1,15,0,1,1,5,7,0,0,0,0,1,0,0,16,0.0,237,15:50,fanteos01
440,Derek Grant,2016,2016,1,15,0,1,1,-7,2,0,0,0,0,1,0,0,22,0.0,163,10:53,grantde01
441,Éric Landry,1998,1999,2,15,1,1,2,-1,4,1,0,0,0,1,0,0,8,12.5,30,9:54,landrer01
442,Mike Leclerc,2006,2006,1,15,1,4,5,0,8,1,0,0,0,3,1,0,21,4.8,184,12:14,leclemi01
443,Greg Nemisz,2011,2012,2,15,0,1,1,0,0,0,0,0,0,1,0,0,7,0.0,100,6:40,nemisgr01
444,Rocky Thompson,1998,1999,2,15,0,0,0,0,86,0,0,0,0,0,0,0,3,0.0,6,2:01,thompro01
445,Rich Chernomaz,1988,1992,3,14,1,0,1,-9,6,1,0,0,0,0,0,0,28,3.6,,,chernri01
446,Pierre Rioux,1983,1983,1,14,1,2,3,-3,4,1,0,0,0,2,0,0,9,11.1,,,riouxpi01
447,Buddy Robinson,2020,2021,2,14,1,0,1,0,7,1,0,0,0,0,0,0,12,8.3,125,8:58,robinbu01
448,Hunter Shinkaruk,2016,2017,2,14,2,2,4,-7,4,1,1,0,0,1,1,0,17,11.8,184,13:10,shinkhu01
449,Glen Featherstone,1997,1997,1,13,1,3,4,-1,19,1,0,0,0,1,2,0,27,3.7,,,feathgl01
450,Krys Kolanos,2012,2012,1,13,0,1,1,-1,2,0,0,0,0,1,0,0,29,0.0,128,9:51,kolankr01
451,Lynn Loyns,2004,2006,2,13,0,2,2,-2,2,0,0,0,0,1,0,1,6,0.0,141,10:50,loynsly01
452,Jason Morgan,2004,2004,1,13,0,2,2,1,2,0,0,0,0,2,0,0,14,0.0,127,9:45,morgaja01
453,Drew Shore,2015,2016,2,13,1,3,4,-5,2,1,0,0,0,3,0,0,16,6.3,145,11:11,shoredr01
454,Morris Stefaniw,1973,1973,1,13,1,1,2,-3,2,0,0,1,0,1,0,0,16,6.3,,,stefamo01
455,Erik Andersson,1998,1998,1,12,2,1,3,-4,8,2,0,0,0,1,0,0,11,18.2,,,anderer01
456,Jerry Byers,1975,1975,1,12,1,1,2,-4,9,1,0,0,0,1,0,0,10,10.0,,,byersje01
457,Chris Higgins,2010,2010,1,12,2,1,3,0,0,2,0,0,0,1,0,0,28,7.1,190,15:52,higgich01
458,Ladislav Kohn,1996,2003,3,12,1,2,3,2,4,1,0,0,0,2,0,0,13,7.7,27,8:53,kohnla01
459,Sergei Krivokrasov,2000,2000,1,12,1,10,11,2,4,1,0,0,0,7,3,0,27,3.7,160,13:22,krivose01
460,Devin Setoguchi,2015,2015,1,12,0,0,0,-7,4,0,0,0,0,0,0,0,12,0.0,146,12:09,setogde01
461,Niklas Andersson,2001,2001,1,11,0,1,1,0,4,0,0,0,0,1,0,0,8,0.0,123,11:10,anderni01
