--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
144,Mark Kastelic,2022,2023,2,81,9,6,15,-7,116,9,0,0,3,6,0,0,84,10.7,725,8:57,kastema01
145,Mike Peluso,1993,1993,1,81,15,10,25,-35,318,13,2,0,1,9,1,0,93,16.1,,,pelusmi01
146,David Legwand,2015,2015,1,80,9,18,27,1,32,3,6,0,0,10,6,2,91,9.9,1112,13:54,legwada01
147,Tom Preissing,2007,2007,1,80,7,31,38,40,18,4,3,0,0,16,15,0,94,7.4,1220,15:15,preisto01
148,Luke Richardson,2008,2009,2,78,2,7,9,-2,43,2,0,0,0,7,0,0,41,4.9,962,12:20,richalu01
149,Jake Sanderson,2023,2023,1,77,4,28,32,-6,12,2,2,0,0,13,15,0,132,3.0,1688,21:55,sandeja01
150,Jamie Baker,1993,1993,1,76,19,29,48,-20,54,9,10,0,2,15,14,0,160,11.9,,,bakerja01
151,Christián Jaroš,2018,2020,3,76,1,12,13,-16,33,1,0,0,0,9,2,1,70,1.4,1029,13:32,jarosch01
152,Chris Luongo,1993,1993,1,76,3,9,12,-47,68,2,1,0,0,6,3,0,76,3.9,,,luongch01
153,Trent McCleary,1996,1996,1,75,4,10,14,-15,68,3,0,1,0,9,0,1,58,6.9,,,mccletr01
154,Jim O'Brien,2011,2018,4,73,8,5,13,0,14,7,1,0,1,5,0,0,97,8.2,806,11:03,obrieji01
155,Josh Brown,2021,2022,2,72,0,7,7,-10,62,0,0,0,0,7,0,0,51,0.0,1011,14:03,brownjo01
156,Cory Conacher,2013,2014,2,72,6,19,25,14,38,6,0,0,2,19,0,0,87,6.9,892,12:24,conacco01
157,Chris Herperger,2002,2002,1,72,4,9,13,4,43,4,0,0,0,9,0,0,81,4.9,815,11:19,herpech01
158,Max McCormick,2016,2019,4,71,6,4,10,-18,78,6,0,0,0,4,0,0,89,6.7,612,8:37,mccorma01
159,Laurie Boschman,1993,1993,1,70,9,7,16,-26,101,8,0,1,1,7,0,0,84,10.7,,,boschla01
160,Chris Dahlquist,1995,1996,2,70,2,8,10,-37,50,1,1,0,0,8,0,0,58,3.4,,,dahlqch01
161,Pat Elynuik,1995,1996,2,70,4,9,13,-9,67,4,0,0,0,6,3,0,85,4.7,,,elynupa01
162,Steve Martins,1999,2006,5,70,9,7,16,9,24,8,1,0,1,7,0,0,60,15.0,629,8:59,martist02
163,Bill Muckalt,2002,2002,1,70,0,8,8,-3,46,0,0,0,0,8,0,0,73,0.0,684,9:46,muckabi01
