--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
301,Brock McGinn,2023,2023,1,15,2,1,3,-6,0,2,0,0,0,1,0,0,14,14.3,186,12:25,mcginbr01
302,Brad Staubitz,2013,2013,1,15,1,1,2,0,41,1,0,0,1,1,0,0,5,20.0,93,6:13,staubbr01
303,Patrick Traverse,2001,2001,1,15,1,0,1,-6,6,1,0,0,0,0,0,0,7,14.3,260,17:19,travepa01
304,Kyle Calder,2010,2010,1,14,0,2,2,-7,8,0,0,0,0,1,1,0,20,0.0,198,14:07,caldeky01
305,Tomáš Fleischmann,2015,2015,1,14,1,5,6,0,4,1,0,0,0,5,0,0,24,4.2,198,14:10,fleisto01
306,Stefan Noesen,2015,2017,3,14,2,0,2,2,2,2,0,0,0,0,0,0,12,16.7,96,6:50,noesest01
307,Pavol Regenda,2023,2023,1,14,1,2,3,-3,4,1,0,0,0,2,0,0,17,5.9,148,10:33,regenpa01
308,Stéphane Robidas,2014,2014,1,14,1,4,5,3,8,1,0,0,1,4,0,0,21,4.8,289,20:37,robidst01
309,Jörgen Jönsson,2000,2000,1,13,1,2,3,-2,0,1,0,0,1,2,0,0,21,4.8,167,12:51,jonssjo01
310,Robin Bawa,1994,1994,1,12,0,1,1,-3,7,0,0,0,0,1,0,0,1,0.0,,,bawaro01
311,Brandon Bochenski,2008,2008,1,12,2,2,4,2,6,1,1,0,0,1,1,0,17,11.8,150,12:28,bochebr01
312,Kip Brennan,2006,2006,1,12,0,1,1,-2,35,0,0,0,0,1,0,0,5,0.0,51,4:16,brennki01
313,Haydn Fleury,2021,2021,1,12,2,1,3,-6,2,2,0,0,0,1,0,0,14,14.3,248,20:39,fleurha01
314,Josh Green,2011,2011,1,12,0,0,0,-3,6,0,0,0,0,0,0,0,10,0.0,120,10:01,greenjo01
315,Chris Kelly,2018,2018,1,12,0,2,2,1,2,0,0,0,0,2,0,0,5,0.0,92,7:40,kellych01
316,Steve Thomas,2003,2003,1,12,10,3,13,10,2,9,1,0,3,3,0,0,27,37.0,164,13:42,thomast01
317,Aaron Voros,2011,2011,1,12,0,0,0,-4,43,0,0,0,0,0,0,0,8,0.0,67,5:33,vorosaa01
318,Shawn Antoski,1997,1998,2,11,1,0,1,2,20,1,0,0,0,0,0,0,6,16.7,,,antossh01
319,Greg Pateryn,2022,2022,1,10,1,1,2,0,10,1,0,0,0,1,0,0,16,6.3,141,14:07,patergr01
320,Michael Sgarbossa,2016,2017,2,10,0,2,2,-2,0,0,0,0,0,1,1,0,7,0.0,94,9:21,sgarbmi01
321,Rob Valicevic,2003,2003,1,10,1,0,1,1,2,1,0,0,1,0,0,0,7,14.3,86,8:35,valicro01
322,Marc-André Bergeron,2008,2008,1,9,0,1,1,-2,4,0,0,0,0,1,0,0,12,0.0,116,12:50,bergema02
323,Eric Brewer,2015,2015,1,9,1,1,2,-6,6,1,0,0,0,1,0,0,7,14.3,155,17:16,breweer01
324,Mat Clark,2012,2015,2,9,0,1,1,0,6,0,0,0,0,1,0,0,4,0.0,111,12:23,clarkma01
325,Christian Djoos,2020,2020,1,9,1,2,3,2,0,1,0,0,0,1,1,0,12,8.3,192,21:22,djoosch01
326,Radek Dvořák,2013,2013,1,9,4,0,4,2,2,4,0,0,1,0,0,0,17,23.5,118,13:08,dvorara01
327,Kurtis Foster,2012,2012,1,9,1,1,2,-5,8,1,0,0,0,0,1,0,16,6.3,136,15:07,fosteku01
328,Matt Irwin,2020,2020,1,9,0,1,1,-7,4,0,0,0,0,1,0,0,18,0.0,202,22:27,irwinma01
329,Nikita Nesterenko,2023,2023,1,9,1,0,1,-3,0,1,0,0,0,0,0,0,23,4.3,120,13:17,nesteni02
330,Brandon Pirri,2016,2016,1,9,3,2,5,0,0,3,0,0,1,0,2,0,17,17.6,115,12:44,pirribr01
