--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
155,Anton Volchenkov,2015,2015,1,46,0,7,7,4,14,0,0,0,0,7,0,0,35,0.0,606,13:11,volchan01
156,Juuso Pärssinen,2023,2023,1,45,6,19,25,-1,15,5,1,0,3,12,7,0,49,12.2,645,14:20,parssju01
157,Matt Hendricks,2014,2014,1,44,2,2,4,-5,54,2,0,0,0,2,0,0,53,3.8,508,11:33,hendrma01
158,Denis Pederson,2003,2003,1,43,4,6,10,2,39,4,0,0,0,6,0,0,64,6.3,551,12:48,pederde01
159,Blake Geoffrion,2011,2012,2,42,6,5,11,1,24,6,0,0,1,5,0,0,36,16.7,393,9:22,geoffbl01
160,Brent Gilchrist,2003,2003,1,41,1,2,3,-11,14,1,0,0,0,2,0,0,41,2.4,441,10:46,gilchbr01
161,Dan Keczmer,1999,2000,2,40,0,5,5,-5,40,0,0,0,0,5,0,0,33,0.0,692,17:18,keczmda01
162,Cody Hodgson,2016,2016,1,39,3,5,8,2,6,3,0,0,2,4,1,0,65,4.6,419,10:44,hodgsco01
163,Josef Vašíček,2007,2007,1,38,4,9,13,1,29,4,0,0,0,8,1,0,47,8.5,501,13:11,vasicjo01
164,Andy Berenzweig,2000,2003,4,37,3,7,10,-4,14,3,0,0,1,5,2,0,35,8.6,523,14:08,berenbu01
165,Petter Granberg,2016,2017,2,37,0,2,2,1,23,0,0,0,0,2,0,0,16,0.0,467,12:37,granbpe01
166,Chris Mueller,2011,2013,3,37,2,6,8,-5,8,2,0,0,1,6,0,0,33,6.1,359,9:42,muellch01
167,J.J. Daigneault,1999,1999,1,35,2,2,4,-4,38,1,1,0,1,2,0,0,38,5.3,727,20:47,daignjj01
168,Jarred Tinordi,2020,2021,2,35,1,4,5,-2,38,1,0,0,0,3,0,1,28,3.6,581,16:36,tinorja01
169,Colin Blackwell,2019,2020,2,33,3,7,10,6,12,3,0,0,0,7,0,0,36,8.3,354,10:44,blackco01
