--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
181,Scott Gomez,2010,2012,3,196,21,87,108,-23,122,11,10,0,4,57,29,1,396,5.3,3577,18:15,gomezsc01
182,Mark Hunter,1982,1985,4,196,53,35,88,0,381,45,8,0,10,32,3,0,249,21.3,,,huntema01
183,Josh Anderson,2021,2023,3,190,57,31,88,-43,175,48,7,2,11,29,2,0,440,13.0,3213,16:54,anderjo05
184,Todd Ewen,1990,1993,4,190,13,19,32,14,609,13,0,0,3,19,0,0,117,11.1,,,ewento01
185,Jake Evans,2020,2023,4,186,20,44,64,-7,79,18,1,1,0,40,0,4,248,8.1,2596,13:58,evansja02
186,Joe Benoit,1941,1947,5,185,75,69,144,,94,62,13,0,8,46,23,0,,,,,benoijo01
187,Victor Mete,2018,2021,4,185,4,30,34,30,36,4,0,0,1,25,5,0,173,2.3,3039,16:26,metevi01
188,Dale Weise,2014,2020,5,184,28,36,64,24,93,25,3,0,3,33,3,0,240,11.7,2241,12:11,weiseda01
189,Marc Bureau,1996,1998,3,182,22,22,44,1,74,20,1,1,5,17,1,4,181,12.2,,,bureama01
190,Andrew Shaw,2017,2019,3,182,41,55,96,13,234,32,9,0,4,44,11,0,356,11.5,2843,15:37,shawan01
191,Billy Coutu,1918,1926,8,181,24,18,42,,346,,,,6,,,,,,,,coutubi01
192,Roger Leger,1947,1950,4,180,17,51,68,,69,8,7,2,5,35,16,0,,,,,legerro01
193,Dick Gamble,1951,1956,5,178,38,41,79,,60,30,7,1,9,32,7,2,,,,,gambldi01
194,Albert Langlois,1958,1961,4,177,2,29,31,56,126,2,0,0,0,29,0,0,121,1.7,,,langlal01
195,Chuck Lefley,1971,1975,5,174,45,60,105,42,60,40,2,3,9,53,5,2,286,15.7,,,leflech01
196,Rod Lorrain,1936,1942,6,174,28,38,66,,30,23,5,0,5,34,4,0,,,,,lorraro01
197,Gilles Lupien,1978,1980,3,174,3,19,22,63,341,3,0,0,1,19,0,0,120,2.5,,,lupiegi01
198,Torrey Mitchell,2015,2018,4,174,19,18,37,5,99,18,0,1,4,16,0,2,155,12.3,2127,12:13,mitchto01
199,Jack Portland,1934,1943,5,174,7,32,39,,151,6,1,0,2,30,2,0,,,,,portlja01
200,Brandon Prust,2013,2015,3,172,15,30,45,16,365,15,0,0,4,27,1,2,166,9.0,2248,13:04,prustbr01
201,Jordie Benn,2017,2019,3,171,11,28,39,12,77,11,0,0,2,28,0,0,208,5.3,3153,18:26,bennjo01
202,Jesperi Kotkaniemi,2019,2021,3,171,22,40,62,-11,61,20,2,0,3,31,9,0,276,8.0,2382,13:56,kotkaje01
203,Mike Cammalleri,2010,2012,3,170,54,65,119,3,59,42,12,0,8,35,30,0,522,10.3,3184,18:44,cammami01
204,Sergei Zholtok,1999,2001,3,170,34,37,71,-25,42,23,11,0,10,24,13,0,343,9.9,2458,14:28,zholtse01
205,Rip Riopelle,1948,1950,3,169,27,16,43,,71,21,6,0,4,14,2,0,,,,,rioperi01
206,Kjell Dahlin,1986,1988,3,166,57,59,116,11,10,37,19,1,5,38,21,0,276,20.7,,,dahlikj01
207,Craig Darby,1995,2002,4,166,19,28,47,-36,30,17,0,2,2,25,3,0,191,9.9,2294,14:42,darbycr01
208,Gilbert Delorme,1982,1984,3,165,17,36,53,42,152,14,3,0,2,29,7,0,283,6.0,,,delorgi01
209,Paul Masnick,1951,1955,5,165,15,31,46,,117,14,1,0,1,29,3,0,,,,,masnipa01
210,Bill Nyrop,1976,1978,3,165,8,43,51,119,66,5,1,2,2,43,0,0,143,5.6,,,nyropbi01
211,Ben Chiarot,2020,2022,3,164,17,29,46,-29,153,15,2,0,4,27,1,1,307,5.5,3762,22:56,chiarbe01
212,John McCormack,1952,1954,3,164,8,29,37,,25,6,0,2,2,28,0,1,,,,,mccorjo01
213,Polly Drouin,1935,1941,7,161,23,51,74,,80,18,5,0,4,46,5,0,,,,,drouipo01
214,Odie Cleghorn,1919,1925,7,160,92,34,126,,142,,,,9,,,,,,,,cleghod01
215,Jackie Leclair,1955,1957,3,160,20,40,60,,54,16,4,0,2,39,1,0,,,,,leclaja01
216,Charlie Sands,1940,1943,4,160,28,58,86,,20,24,2,2,3,49,8,1,,,25,,sandsch01
217,Sergei Kostitsyn,2008,2010,3,155,24,44,68,10,123,15,8,1,3,37,7,0,182,13.2,2204,14:13,kostise01
218,Billy Boucher,1922,1927,6,154,86,35,121,,345,,,,21,,,,,,,,bouchbi01
219,Paul DiPietro,1992,1995,4,154,25,44,69,11,80,23,2,0,1,35,9,0,226,11.1,,,dipiepa01
220,Niklas Sundström,2003,2006,3,154,19,30,49,0,56,19,0,0,5,27,1,2,156,12.2,2191,14:13,sundsni01
221,Max Domi,2019,2020,2,153,45,71,116,17,115,40,5,0,5,54,17,0,382,11.8,2639,17:15,domima01
222,Mathieu Darche,2010,2012,3,149,22,26,48,5,32,18,2,2,4,19,5,2,210,10.5,1719,11:32,darchma01
223,Kevin Haller,1992,1994,3,149,17,25,42,14,252,10,7,0,2,12,12,1,207,8.2,,,halleke01
224,Ed Ronan,1992,1995,4,147,12,19,31,2,74,12,0,0,2,19,0,0,118,10.2,,,ronaned01
225,Tom Kostopoulos,2008,2009,2,145,15,20,35,-4,219,11,0,4,1,19,0,1,219,6.8,1858,12:49,kostoto01
226,Jaroslav Špaček,2010,2012,3,145,4,36,40,20,97,3,1,0,0,25,9,2,169,2.4,2934,20:14,spaceja01
227,Rene Bourque,2012,2015,4,141,21,18,39,-27,97,15,5,1,3,15,3,0,266,7.9,2197,15:35,bourqre01
228,Robert Picard,1981,1984,4,141,11,61,72,49,172,7,4,0,1,42,19,0,268,4.1,,,picarro02
229,Ryan White,2010,2014,5,141,5,12,17,-15,232,5,0,0,1,11,0,1,114,4.4,1458,10:20,whitery01
230,Joel Edmundson,2021,2023,3,140,8,24,32,-2,118,8,0,0,0,23,0,1,178,4.5,2766,19:45,edmunjo01
231,Dainius Zubrus,1999,2001,3,139,29,45,74,-11,88,23,6,0,2,34,11,0,240,12.1,2480,17:50,zubruda01
232,Tom Kurvers,1985,1987,3,138,17,58,75,7,66,7,9,1,4,27,30,1,207,8.2,,,kurveto01
233,Ab McDonald,1959,1960,2,137,22,36,58,1,61,19,3,0,1,34,2,0,104,8.7,,,mcdonab01
