--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
147,Dennis Seidenberg,2007,2009,3,137,6,45,51,-15,57,4,2,0,1,29,16,0,256,2.3,2818,20:34,seidede01
148,Trevor Letowski,2007,2008,2,136,11,15,26,-18,48,10,0,1,1,12,2,1,136,8.1,1361,10:00,letowtr01
149,Gerald Diduck,1996,1997,2,135,2,19,21,-2,128,2,0,0,1,16,2,1,152,1.3,,,diducge01
150,Vincent Trocheck,2020,2022,3,135,39,57,96,13,114,25,14,0,6,39,18,0,303,12.9,2414,17:53,trochvi01
151,Paul Coffey*,1997,2000,3,133,16,42,58,-7,86,8,8,0,4,21,21,0,273,5.9,2424,21:27,coffepa01
152,Ed Hospodar,1983,1984,2,131,1,18,19,-51,362,1,0,0,0,16,1,1,111,0.9,,,hospoed01
153,Andrej Sekera,2014,2015,2,131,13,50,63,-3,28,7,5,1,1,34,15,1,219,5.9,3050,23:17,sekeran01
154,Derek Stepan,2022,2023,2,131,14,16,30,8,22,14,0,0,0,15,0,1,194,7.2,1289,9:50,stepade01
155,Todd Krygier,1990,1991,2,130,31,29,60,5,147,22,8,1,5,26,2,1,216,14.4,,,krygito01
156,Murray Craven,1992,1993,2,128,49,72,121,-8,58,28,14,7,3,46,22,4,272,18.0,,,cravemu01
157,Calvin de Haan,2019,2023,2,127,3,23,26,8,40,3,0,0,1,23,0,0,153,2.0,2087,16:26,dehaaca01
158,Chris Pronger*,1994,1995,2,124,10,34,44,-15,167,5,5,0,1,20,13,1,268,3.7,,,prongch01
159,Glen Featherstone,1995,1997,3,122,5,16,21,3,257,5,0,0,1,12,3,1,118,4.2,,,feathgl01
160,Brad Malone,2015,2016,2,122,9,12,21,-19,149,9,0,0,2,12,0,0,96,9.4,1204,9:52,malonbr01
161,Brett Bellemore,2013,2015,3,121,4,16,20,-2,79,4,0,0,1,16,0,0,83,4.8,2031,16:47,bellebr01
162,Darren Langdon,2001,2003,3,121,2,3,5,-2,216,2,0,0,1,3,0,0,22,9.1,448,3:42,langdda01
163,Marty Howe,1980,1985,5,119,1,18,19,-14,75,1,0,0,0,15,2,1,111,0.9,,,howema01
164,Lee Stempniak,2017,2018,2,119,19,30,49,-6,36,16,3,0,2,26,4,0,172,11.0,1761,14:48,stemple01
165,Sandis Ozoliņš,2001,2002,2,118,16,51,67,-29,105,9,5,2,2,32,18,1,216,7.4,2495,21:09,ozolisa01
166,Brent Peterson,1988,1989,2,118,6,20,26,-7,101,6,0,0,2,19,0,1,89,6.7,,,peterbr01
167,Michael Nylander,1993,1994,2,117,22,55,77,-9,60,15,7,0,2,44,11,0,159,13.8,,,nylanmi01
168,Nick Fotiu,1980,1981,2,116,14,11,25,-6,186,14,0,0,0,11,0,0,90,15.6,,,fotiuni01
169,Zach Boychuk,2009,2015,7,115,11,17,28,-2,10,10,1,0,1,16,1,0,141,7.8,1199,10:25,boychza01
170,Alexander Godynyuk,1994,1997,4,115,4,15,19,-2,91,4,0,0,2,13,2,0,118,3.4,,,godynal01
171,Andrej Nestrašil,2015,2017,3,115,17,29,46,3,14,13,4,0,1,27,2,0,198,8.6,1574,13:41,nestran01
172,Tom Rowe,1980,1982,3,115,23,32,55,-24,256,19,3,1,1,26,6,0,231,10.0,,,roweto01
173,Carey Wilson,1988,1991,3,115,37,46,83,-31,52,21,15,1,9,30,16,0,192,19.3,,,wilsoca01
174,Yvon Corriveau,1990,1994,5,114,22,15,37,-13,90,18,4,0,1,14,1,0,149,14.8,,,corriyv01
175,Steve Chiasson,1997,1999,3,112,11,46,57,-5,88,1,10,0,0,21,25,0,303,3.6,649,23:11,chiasst01
176,Steven Lorentz,2021,2022,2,112,10,11,21,1,16,10,0,0,2,11,0,0,120,8.3,1199,10:42,lorenst01
177,Andrei Nikolishin,1995,1997,3,112,24,52,76,3,46,17,5,2,3,34,17,1,165,14.5,,,nikolan01
178,Kelly Chase,1995,1997,3,111,3,10,13,-1,493,3,0,0,1,10,0,0,39,7.7,,,chaseke01
179,Tim Brent,2012,2013,2,109,12,15,27,-11,35,8,3,1,3,9,6,0,94,12.8,1154,10:35,brentti01
180,John Cullen,1991,1993,3,109,39,63,102,-49,217,22,17,0,5,32,31,0,245,15.9,,,cullejo01
181,Gordie Roberts,1980,1981,2,107,10,39,49,-9,170,8,2,0,1,34,2,3,143,7.0,,,robergo02
182,Radim Vrbata,2003,2006,3,106,19,16,35,-17,32,11,8,0,2,14,2,0,277,6.9,1488,14:02,vrbatra01
183,Terry Yake,1989,1993,5,104,24,37,61,-2,60,19,4,1,3,25,10,2,131,18.3,,,yakete01
184,Mike Crombeen,1984,1985,2,102,5,11,16,-13,41,4,0,1,1,10,0,1,77,6.5,,,crombmi01
185,Bryan Allen,2011,2012,2,101,1,18,19,3,95,1,0,0,1,17,0,1,95,1.1,1872,18:32,allenbr01
186,Kevin Haller,1997,1998,2,100,5,11,16,-16,142,5,0,0,0,8,3,0,110,4.5,,,halleke01
187,Blake Wesley,1982,1983,2,100,9,19,28,-50,169,6,3,0,1,12,7,0,127,7.1,,,weslebl01
188,Tom Kostopoulos,2010,2011,2,99,9,16,25,3,136,7,0,2,0,15,0,1,116,7.8,1219,12:19,kostoto01
189,Brian Glynn,1995,1997,3,98,2,10,12,-15,78,2,0,0,0,6,4,0,83,2.4,,,glynnbr01
190,Jody Hull,1989,1990,2,98,23,28,51,0,31,15,8,0,2,26,2,0,128,18.0,,,hulljo01
191,Jack McIlhargey,1981,1982,2,98,2,11,13,-12,202,2,0,0,0,11,0,0,37,5.4,,,mcilhja01
192,Rick Meagher,1981,1983,3,96,31,29,60,-6,70,28,2,1,2,25,4,0,247,12.6,,,meaghri01
193,Jalen Chatfield,2022,2023,2,94,6,11,17,24,43,5,0,1,2,10,0,1,118,5.1,1338,14:14,chatfja01
194,Jake Gardiner,2020,2021,2,94,4,28,32,-25,41,3,1,0,2,15,13,0,110,3.6,1550,16:29,gardija01
195,Andrei Kovalenko,1999,2000,2,94,21,30,51,-10,38,18,3,0,4,23,7,0,135,15.6,1388,14:46,kovalan01
196,František Kučera,1994,1996,3,94,6,26,32,-12,54,5,1,0,2,20,5,1,148,4.1,,,kucerfr01
197,Dave Debol,1980,1981,2,92,26,26,52,-17,4,24,2,0,2,23,3,0,166,15.7,,,debolda01
198,Steve Konroyd,1992,1993,2,92,5,21,26,-21,95,4,1,0,0,16,5,0,118,4.2,,,konrost01
199,Patrick Poulin,1992,1994,3,91,22,32,54,-28,50,17,5,0,2,26,6,0,173,12.7,,,poulipa01
200,Jaroslav Svoboda,2002,2004,3,91,8,14,22,-2,40,7,1,0,1,9,5,0,102,7.8,1094,12:01,svoboja01
201,Paul Cyr,1991,1992,2,87,12,16,28,-12,126,11,0,1,2,15,1,0,148,8.1,,,cyrpa01
202,Eric Weinrich,1993,1994,2,87,8,30,38,-16,78,5,1,2,2,20,9,1,114,7.0,,,weinrer01
203,Rob Brown,1991,1992,2,86,34,39,73,-21,140,11,23,0,4,22,17,0,159,21.4,,,brownro01
204,Jocelyn Lemieux,1994,1996,3,86,13,8,21,-26,82,13,0,0,3,7,0,1,143,9.1,,,lemiejo01
205,Patrick Eaves,2008,2009,2,85,7,12,19,5,35,4,2,1,1,12,0,0,137,5.1,974,11:28,eavespa01
206,Nick Kypreos,1993,1994,2,85,17,10,27,-13,362,17,0,0,2,10,0,0,86,19.8,,,kypreni01
207,Ray Sheppard,1998,1999,2,84,29,35,64,6,18,22,7,0,5,26,9,0,221,13.1,1347,18:12,sheppra01
208,Pierre Larouche,1982,1983,2,83,43,47,90,-42,20,27,15,1,1,31,14,2,235,18.3,,,laroupi01
209,Russ Anderson,1982,1983,2,82,1,9,10,-50,256,1,0,0,1,9,0,0,42,2.4,,,anderru01
210,Brent Burns,2023,2023,1,82,18,43,61,19,44,14,4,0,2,24,19,0,255,7.1,1904,23:13,burnsbr01
211,Jeff Brown,1996,1998,3,81,10,41,51,1,54,2,8,0,0,18,23,0,172,5.8,,,brownje02
212,Rick Ley,1980,1981,2,81,4,18,22,-13,112,4,0,0,1,14,4,0,97,4.1,,,leyri01
213,Mark Fusco,1984,1985,2,80,3,12,15,-21,42,3,0,0,0,11,1,0,88,3.4,,,fuscoma01
214,Garry Howatt,1982,1982,1,80,18,32,50,-5,242,17,1,0,2,29,3,0,111,16.2,,,howatga01
215,Gordie Howe*,1980,1980,1,80,15,26,41,9,42,13,2,0,0,23,3,0,94,16.0,,,howego01
216,Stefan Noesen,2022,2023,2,80,13,23,36,12,32,6,7,0,4,15,8,0,138,9.4,991,12:23,noesest01
217,Greg Adams,1983,1983,1,79,10,13,23,-45,216,9,1,0,1,11,2,0,114,8.8,,,adamsgr01
218,Marc Bergevin,1991,1992,2,79,7,17,24,-16,68,2,4,1,1,7,9,1,98,7.1,,,bergema01
