--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
117,Wayne Primeau,1995,2000,6,225,19,25,44,-9,227,14,5,0,3,22,3,0,173,11.0,1144,10:36,primewa01
118,Ryan O'Reilly,2016,2018,3,224,65,111,176,-40,20,32,31,2,8,68,38,5,576,11.3,4774,21:19,oreilry01
119,Josh Gorges,2015,2018,4,223,3,23,26,-42,155,3,0,0,0,22,0,1,140,2.1,4331,19:25,gorgejo01
120,Cody Hodgson,2012,2015,4,218,44,55,99,-65,54,29,14,1,2,39,15,1,474,9.3,3537,16:13,hodgsco01
121,Dave Snuggerud,1990,1992,3,215,26,46,72,-8,109,19,1,6,4,39,4,3,323,8.0,,,snuggda01
122,Teppo Numminen,2006,2009,4,212,6,80,86,19,90,5,1,0,1,42,37,1,164,3.7,4120,19:26,nummite01
123,Nicolas Deslauriers,2014,2017,4,211,12,18,30,-54,186,12,0,0,2,17,0,1,204,5.9,2231,10:35,deslani01
124,Tracy Pratt,1971,1974,4,210,2,39,41,0,399,2,0,0,0,36,1,2,148,1.4,,,pratttr01
125,Larry Carriere,1973,1978,4,206,9,43,52,14,284,5,4,0,0,34,9,0,235,3.8,,,carrila01
126,Jaroslav Špaček,2007,2009,3,205,22,76,98,29,142,10,12,0,3,35,41,0,303,7.3,4406,21:30,spaceja01
127,Wayne Presley,1992,1995,4,202,48,32,80,30,297,36,1,11,6,23,3,6,301,15.9,,,preslwa01
128,Dylan Cozens,2021,2023,3,201,48,71,119,-37,112,38,8,2,2,49,20,2,433,11.1,3180,15:49,cozendy01
129,Cody McCormick,2011,2015,5,201,11,22,33,-24,293,10,0,1,1,21,1,0,204,5.4,1963,9:46,mccorco01
130,Andrew Peters,2004,2009,5,200,4,3,7,-12,557,4,0,0,0,3,0,0,72,5.6,736,3:41,peteran01
131,Benoît Hogue,1988,1992,5,196,45,67,112,-10,275,40,3,2,4,51,15,1,330,13.6,,,hoguebe01
132,Evander Kane,2016,2018,3,196,68,50,118,-45,261,56,8,4,10,35,15,0,758,9.0,3894,19:52,kaneev01
133,Daniel Paille,2006,2010,5,195,35,42,77,20,54,32,0,3,4,39,0,3,252,13.9,2428,12:27,paillda01
134,Mark Pysyk,2013,2022,5,193,8,30,38,-19,66,7,1,0,2,26,3,1,184,4.3,3386,17:33,pysykma01
135,Christian Ehrhoff,2012,2014,3,192,16,71,87,-23,119,12,3,1,7,38,29,4,399,4.0,4595,23:56,ehrhoch01
136,Evan Rodrigues,2016,2020,5,192,26,45,71,-30,53,21,5,0,2,35,7,3,382,6.8,2681,13:58,rodriev01
137,Rick Vaive,1989,1992,4,189,74,62,136,25,226,50,24,0,10,38,24,0,456,16.2,,,vaiveri01
138,Nathan Gerbe,2009,2013,5,188,29,43,72,14,88,24,4,1,6,38,4,1,425,6.8,2542,13:31,gerbena01
139,Clarke MacArthur,2007,2010,4,187,41,38,79,-11,127,33,8,0,4,29,9,0,274,15.0,2552,13:39,macarcl01
140,Bob Sweeney,1993,1995,3,185,37,44,81,-1,230,21,8,8,4,32,8,4,243,15.2,,,sweenbo01
141,Bob Boughner,1996,1998,3,177,2,11,13,20,494,2,0,0,0,10,0,1,74,2.7,,,boughbo01
142,Marco Scandella,2018,2020,3,176,14,30,44,-19,71,14,0,0,2,24,4,2,260,5.4,3536,20:05,scandma01
143,Jordan Leopold,2011,2013,3,174,25,42,67,-13,78,19,6,0,1,30,12,0,282,8.9,3931,22:35,leopojo01
144,Eric Boulton,2001,2004,4,172,5,12,17,-3,511,5,0,0,1,12,0,0,94,5.3,1010,5:52,boulter01
145,Adam Creighton,1984,1989,6,172,40,60,100,-2,196,26,14,0,7,39,21,0,249,16.1,,,creigad01
146,Jacob Bryson,2021,2023,3,170,3,25,28,-34,32,2,1,0,0,15,7,3,94,3.2,2923,17:12,brysoja01
147,Mike Robitaille,1972,1975,4,170,8,46,54,0,122,5,3,0,0,34,11,1,433,1.8,,,robitmi01
148,Geoff Sanderson,1998,2000,3,168,29,36,65,18,64,24,5,0,6,28,8,0,363,8.0,1833,12:55,sandege01
149,Kevin Maguire,1988,1990,3,167,18,25,43,5,518,18,0,0,3,25,0,0,122,14.8,,,maguike01
