--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
104,Justin Braun,2020,2023,4,227,9,34,43,0,91,9,0,0,0,33,1,0,238,3.8,4039,17:47,braunju01
105,Karl Dykhuis,1995,2000,5,227,13,41,54,21,211,8,5,0,2,26,15,0,317,4.1,896,17:55,dykhuka01
106,Justin Williams,2001,2004,4,226,43,72,115,42,108,40,3,0,4,62,9,1,473,9.1,3256,14:24,williju01
107,Zac Rinaldo,2012,2015,4,223,8,16,24,-30,572,8,0,0,1,16,0,0,168,4.8,1795,8:03,rinalza01
108,Al Hill,1977,1988,8,221,40,55,95,31,227,39,1,0,5,49,4,2,262,15.3,,,hillal01
109,Randy Jones,2004,2009,5,217,13,56,69,-3,134,11,2,0,2,35,19,2,241,5.4,3817,17:35,jonesra01
110,Jeremy Roenick,2002,2004,3,216,67,106,173,53,211,42,23,2,10,71,32,3,492,13.6,3945,18:16,roenije01
111,Eric Weinrich,2002,2004,3,215,8,45,53,54,98,5,2,1,3,36,7,2,261,3.1,4607,21:26,weinrer01
112,Dmitry Yushkevich,1993,2003,4,215,17,63,80,7,212,11,5,1,4,56,5,2,387,4.4,326,18:05,yushkdm01
113,Joel Otto,1996,1998,3,213,28,52,80,21,292,20,6,2,3,39,8,5,249,11.2,,,ottojo01
114,Luke Schenn,2013,2016,4,213,12,30,42,-6,140,12,0,0,0,29,0,1,245,4.9,3892,18:16,schenlu01
115,Jody Hull,1999,2001,3,210,20,22,42,5,26,16,0,4,5,21,0,1,214,9.3,2675,12:44,hulljo01
116,Trent Klatt,1996,1999,4,209,41,57,98,13,57,26,10,5,9,45,10,2,340,12.1,22,11:11,klatttr01
117,Daymond Langkow,1999,2001,3,209,41,86,127,5,130,29,11,1,10,58,27,1,521,7.9,3564,17:03,langkda01
118,Thomas Eriksson,1981,1986,5,208,22,76,98,45,107,14,7,1,2,43,33,0,317,6.9,,,eriksth01
119,Kerry Huffman,1987,1996,7,207,23,61,84,-7,158,16,7,0,6,27,33,1,320,7.2,,,huffmke01
120,Brandon Manning,2012,2018,6,207,11,32,43,-2,212,10,0,1,4,31,1,0,283,3.9,3599,17:23,mannibr01
121,Joni Pitkänen,2004,2007,3,206,25,91,116,12,210,14,11,0,5,45,43,3,388,6.4,4443,21:34,pitkajo01
122,Darroll Powe,2009,2011,3,204,22,21,43,-14,130,20,0,2,2,20,0,1,262,8.4,2389,11:43,poweda01
123,Rich Sutter,1984,1986,3,204,36,47,83,41,381,34,2,0,3,46,1,0,317,11.4,,,sutteri01
124,Derian Hatcher,2006,2008,3,203,9,24,33,-18,193,4,4,1,2,17,4,3,206,4.4,4678,23:03,hatchde01
125,Lew Morrison,1970,1972,3,202,19,22,41,-33,70,15,4,0,3,21,0,1,316,6.0,,,morrile01
126,Brent Fedyk,1993,1996,4,200,59,65,124,-1,160,42,16,1,5,50,13,2,354,16.7,,,fedykbr01
127,Dainius Zubrus,1997,1999,3,200,19,43,62,27,89,16,2,1,7,38,5,0,221,8.6,693,11:00,zubruda01
128,Jeff Chychrun,1987,1991,5,199,3,17,20,-1,606,3,0,0,2,15,1,1,132,2.3,,,chychje01
129,Ruslan Fedotenko,2001,2013,3,199,37,38,75,31,127,33,3,1,8,35,2,1,283,13.1,2761,13:52,fedotru01
130,Frank Bathe,1978,1983,6,198,3,24,27,28,502,3,0,0,0,24,0,0,175,1.7,,,bathefr01
131,Nicklas Grossmann,2012,2015,4,198,7,31,38,6,118,7,0,0,0,30,0,1,153,4.6,3647,18:25,grossni01
132,Dan Kordic,1992,1999,6,197,4,8,12,-4,584,4,0,0,0,8,0,0,62,6.5,5,2:27,kordida01
133,Nolan Patrick,2018,2021,3,197,30,40,70,-37,77,22,8,0,5,35,5,0,291,10.3,2778,14:06,patrino01
134,Larry Hale,1969,1972,4,196,5,37,42,-42,90,5,0,0,1,35,1,1,149,3.4,,,halela01
135,Terry Crisp,1973,1977,5,194,25,54,79,34,78,20,2,3,5,45,5,4,230,10.9,,,crispte01
136,Miroslav Dvořák,1983,1985,3,193,11,74,85,59,51,6,2,3,1,45,23,6,249,4.4,,,dvorami01
137,Andrej Meszároš,2011,2014,4,192,20,56,76,28,116,15,5,0,4,50,6,0,338,5.9,3855,20:05,meszaan01
138,Darryl Sittler*,1982,1984,3,191,84,94,178,29,148,56,26,2,13,70,20,4,558,15.1,,,sittlda01
139,Nick Schultz,2015,2017,3,189,3,26,29,2,99,3,0,0,1,25,1,0,164,1.8,3405,18:01,schulni01
140,Paul Ranheim,2001,2003,3,187,15,15,30,3,56,12,1,2,0,12,0,3,235,6.4,2102,11:14,ranhepa01
141,Ray Allison,1982,1987,5,168,47,81,128,54,210,38,9,0,3,64,17,0,370,12.7,,,allisra01
142,Michael Del Zotto,2015,2017,3,167,20,43,63,-18,78,18,1,1,5,33,9,1,309,6.5,3615,21:39,delzomi01
143,Bill Flett,1972,1974,3,167,71,68,139,56,130,52,15,4,12,51,16,1,621,11.4,,,flettbi01
144,Ron Flockhart,1981,1984,4,167,65,80,145,30,108,50,13,2,8,53,27,0,517,12.6,,,flockro02
145,Morgan Frost,2020,2023,4,158,26,43,69,-26,42,23,2,1,3,38,5,0,271,9.6,2384,15:05,frostmo01
146,Riley Cote,2007,2010,4,156,1,6,7,-5,411,1,0,0,0,5,1,0,51,2.0,643,4:07,coteri01
147,Daniel Carcillo,2009,2011,3,153,16,16,32,-11,414,15,1,0,3,15,1,0,196,8.2,1503,9:49,carcida01
